nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_swapcached,pgpromote_success,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgdemote_kswapd,pgdemote_direct,pgscan_kswapd,pgscan_direct,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
17810282,33392,1051,231336,78510,5391,6,4623,0,0,0,3502176,0,0,2310839,2331389,1170787,33392,1051,231336,78510,5391,29970,37761,0,0,0,0,0,0,0,0,0,0,33639,45248,316179,6,0,0,4239,0,0,0,0,0,0,0,18443,18384,0,0,0,0,10320,3148,0,0,3609295,1802444,999743,77788,0,0,1024,2982,3544500,0,0,0,0,0,0,0,0,0,21454313,42425,0,952,2989017,4459,0,0,149137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,1,0,"2024-08-17 09:41:42,118"
16287559,1748117,2255,113089,35059,5391,1,4623,0,0,0,5606748,157,157,2310839,2333608,3273297,1748117,2255,113089,35059,5391,22679,37815,0,0,721,144,1761,1,1761,0,1274,6870,1744000,29121,160058,1,0,0,3991,0,0,0,0,0,388219,270,18453,406618,0,0,0,0,10352,7359,5936,0,3272493,1634249,1008003,1630736,157,388219,1024,391921,5260290,0,0,0,7,1274,0,0,0,0,22004780,67170,68849,952,5087907,4634,0,72537,149326,484333,61807,0,0,2012134,639876,0,2459197,192813,382419,163721,0,0,126252,2194,33,0,34,382558,0,0,0,0,0,0,0,0,1582,4,0,0,0,2125,48071,3282,0,0,0,18,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,0,0,0,0,142,1,0,"2024-08-17 09:41:52,120"
13926022,4091783,2255,125989,35259,5391,0,4623,0,0,0,7968259,157,157,2310839,4695119,3273297,4091783,2255,125989,35259,5391,22707,37807,0,0,720,160,1887,1,1887,0,1387,6870,4087666,29329,173171,0,0,0,3991,0,0,0,0,0,388219,270,18459,406625,0,0,0,0,10352,11907,5950,0,2802921,1399749,1060239,1630764,160,388219,1024,391921,7621811,0,0,0,7,1274,0,0,0,0,22004929,67170,68849,952,7431953,4645,0,72537,149353,484333,61807,0,0,2012134,639876,0,2459197,192813,382419,163721,0,0,126252,2194,33,0,34,382558,0,0,0,1268163,0,272,272,0,1582,4,0,0,0,2125,48071,3282,0,0,0,18,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,0,0,0,0,142,1,0,"2024-08-17 09:42:02,122"
9119013,8888920,2255,125989,35757,5391,0,4623,0,0,0,12775427,157,157,2310839,9502287,3273297,8888920,2255,125989,35757,5391,22707,37809,0,0,710,162,2392,1,2392,0,1889,6870,8884805,29718,173678,0,0,0,3991,0,0,0,0,0,388219,270,18464,406630,0,0,0,0,10352,21278,5951,0,1841853,919802,1062267,1630784,162,388219,1024,391921,12428978,0,0,0,7,1274,0,0,0,0,22005062,67170,68849,952,12229743,4665,0,72537,149372,484333,61807,0,0,2012134,639876,0,2459197,192813,382419,163721,0,0,126252,2194,33,0,34,382558,0,0,0,3758531,0,844,844,0,1582,4,0,0,0,2125,48071,3282,0,0,0,18,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,0,0,0,0,142,1,0,"2024-08-17 09:42:12,124"
4317798,13680735,2256,125989,35764,5391,0,4623,0,0,0,17576748,157,157,2310839,14303608,3273297,13680735,2256,125989,35764,5391,22707,37811,0,0,710,163,2392,1,2392,0,1889,6870,13676615,29718,173680,0,0,0,3991,0,0,0,0,0,388219,270,18470,406636,0,0,0,0,10352,30669,5951,0,881846,440384,1062271,1630808,163,388219,1024,391921,17230298,0,0,0,7,1274,0,0,0,0,22005201,67171,68849,952,17021911,4666,0,72537,149383,484333,61807,0,0,2012134,639876,0,2459197,192813,382419,163721,0,0,126252,2194,33,0,34,382558,0,0,0,6642115,0,1200,1200,0,1582,4,0,0,0,2125,48071,3282,0,0,0,18,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,0,0,0,0,142,1,0,"2024-08-17 09:42:22,125"
2370728,14470301,2256,1255305,59626,5391,0,4623,0,0,0,19521809,157,157,2310839,16248669,3273297,14470301,2256,1255305,59626,5391,25323,37843,0,0,710,163,2441,1,2441,0,1889,6870,14466174,29757,1326889,0,0,0,3991,0,0,0,0,0,388219,270,18475,406641,0,0,0,0,10352,32256,5951,0,723106,361111,5675103,1630828,163,388219,1024,391921,19175358,0,0,0,7,1274,0,0,0,0,22005330,89866,68849,952,18758014,4668,0,72537,149384,484333,61807,0,0,2012134,639876,0,2459197,192813,382419,163721,0,0,126252,2194,33,0,34,382558,0,0,0,8346077,0,947789,947789,0,1582,4,0,0,0,2125,48071,3282,0,0,0,18,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,0,0,0,0,142,1,0,"2024-08-17 09:42:32,126"
959432,14470577,2257,2629912,91546,5391,0,4623,0,0,0,20930334,157,157,2310839,17657194,3273297,14470577,2257,2629912,91546,5391,28507,37886,0,0,646,410,5429,1,5429,0,4003,6870,14466355,30860,2733691,0,0,0,3997,0,0,0,0,0,388219,270,18481,406647,0,0,0,0,10432,32267,6185,0,722153,360635,11302587,1630852,410,388219,1024,391921,20583876,0,0,0,7,1274,0,0,0,0,22006090,117479,68849,952,19512660,4945,0,72537,149418,484333,61807,0,0,2012134,639876,0,2459197,192813,382419,163721,0,0,126252,2194,33,0,34,382558,0,0,0,9722333,0,1701105,1701105,0,1582,4,0,0,0,2125,48071,3282,0,0,0,18,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,91,0,0,0,0,142,1,0,"2024-08-17 09:42:42,128"
60003,14468312,2254,3495020,124831,5391,0,4623,0,0,0,22330950,4627,4627,2310839,19057811,3277767,14468312,2254,3495020,124826,5391,31425,37936,0,0,6217,477,5594,1,5594,0,4080,6892,14464164,30906,3632167,0,0,0,3997,0,0,0,0,0,390522,270,18486,408955,0,0,0,0,10432,32267,6153,0,723792,361454,16918867,1640084,477,390522,1024,391921,21988983,0,0,0,7,1274,0,0,0,0,22514232,149504,68913,952,20284551,4989,0,72619,149458,992275,61807,0,0,2531516,639876,0,2463965,707427,384819,669263,0,0,137602,2194,33,26,64,384854,0,0,0,11033053,0,2472781,2472781,0,1582,4,0,0,0,2125,48071,3282,0,0,0,19,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,101,0,0,0,0,142,1,0,"2024-08-17 09:42:52,129"
61830,14467792,2254,3459089,156289,5391,0,4623,0,0,0,23713523,4627,4627,2310839,20440383,3277767,14467792,2254,3459089,156289,5391,34367,37980,0,0,21460,479,5594,1,5594,0,4080,8044,14463615,30906,3627576,0,0,0,3997,0,0,0,0,0,390522,270,18494,408963,0,0,0,0,10432,32267,6154,0,722899,361008,22445171,1640128,479,390522,1024,391921,23371535,0,0,0,7,1274,0,0,0,0,23901144,179614,68913,952,21602557,4990,0,72619,149460,2378400,61807,0,0,3921051,639876,0,2463965,2096962,384819,2055388,0,0,138754,2194,33,112,150,384854,0,0,0,12540381,0,3790778,3790778,0,1582,4,0,0,0,2125,48071,3282,0,0,0,19,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,102,0,0,0,0,142,1,0,"2024-08-17 09:43:02,130"
65714,14467797,2254,3421476,186921,5391,0,4623,0,0,0,25090623,5588,5588,2310839,21817484,3278728,14467797,2254,3421411,186921,5391,37350,38028,0,0,36203,481,5666,1,5666,0,4080,8428,14463620,30938,3620662,0,0,0,3997,0,0,0,0,0,390522,270,18500,408969,0,0,0,0,10432,32267,6154,0,721490,360304,27953563,1640152,481,390522,1024,391921,24749597,0,0,0,7,1274,0,0,0,0,25285466,209126,68913,952,22979935,4994,0,72619,149461,3762472,61807,0,0,5307949,639876,0,2463965,3483860,384819,3439460,0,0,139138,2194,33,198,236,384854,0,0,0,13846604,0,5168144,5168144,0,1582,4,0,0,0,2125,48071,3282,0,0,0,19,2125,48071,0,0,0,0,2294618,0,2239921,2246597,2241974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,102,0,0,0,0,142,1,0,"2024-08-17 09:43:12,132"
