Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
7768248,6403820,1364428,0,117940,480492,3608,41988,114332,438504,3472,400,104,0,568944,56856,32964,15708,6616,5604,0,0,0,44352,137952,44352,93600,0,0,0,0,0,0,0,0,"2024-08-18 02:10:09,458"
7768248,89424,7678824,21116,9484,6909436,7700,6908664,1784,772,3472,400,0,0,39320,13328,6883352,15224,6616,22104,0,0,0,33984,127748,33984,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:10:19,460"
7768248,87688,7680560,21116,10680,6909452,7700,6908664,2980,788,3472,400,0,0,40532,14216,6883352,15224,6616,22104,0,0,0,33984,127748,33984,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:10:29,463"
7768248,87688,7680560,21116,10680,6909452,7700,6908664,2980,788,3472,400,0,0,40532,14216,6883352,15224,6616,22104,0,0,0,33984,127748,33984,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:10:39,464"
7768248,87688,7680560,21116,10680,6909452,7700,6908664,2980,788,3472,400,0,0,40532,14216,6883352,15224,6616,22104,0,0,0,33984,127748,33984,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:10:49,465"
7768248,83908,7684340,21120,14572,6908328,8700,6907696,5872,632,3472,400,0,0,43280,16040,6883480,15224,6632,22108,0,0,0,33984,127748,33984,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:10:59,466"
7768248,81136,7687112,21120,16044,6908440,8700,6907776,7344,664,3472,400,0,0,44836,16952,6883480,15224,6632,22108,0,0,0,33984,127748,33984,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:11:09,467"
7768248,66624,7701624,20824,16544,6924776,7292,6900036,9252,24740,3472,400,0,0,70668,17768,6874660,15224,6632,22108,0,0,0,34016,127780,34016,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:11:19,469"
7768248,66812,7701436,20824,16544,6924776,7292,6900036,9252,24740,3472,400,0,0,70668,17768,6874660,15224,6632,22108,0,0,0,33844,127608,33844,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:11:29,470"
7768248,64900,7703348,20824,16616,6926932,7292,6900072,9324,26860,3472,400,0,0,72836,17768,6874712,15224,6632,22108,0,0,0,33596,127360,33596,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:11:39,471"
7768248,64900,7703348,20824,16616,6926932,7292,6900072,9324,26860,3472,400,0,0,72836,17768,6874716,15224,6632,22108,0,0,0,33596,127360,33596,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:11:49,474"
7768248,64648,7703600,20820,18028,6925584,8688,6898740,9340,26844,3472,400,0,0,72832,17768,6874736,15224,6632,22108,0,0,0,33592,127356,33592,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:11:59,475"
7768248,64652,7703596,20820,18028,6925584,8688,6898740,9340,26844,3472,400,0,0,72832,17768,6874744,15224,6632,22108,0,0,0,33592,127356,33592,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:12:09,476"
7768248,68516,7699732,20868,17344,6923460,7908,6890536,9436,32924,3472,400,0,0,79056,17768,6865724,15224,6632,22108,0,0,0,32792,126556,32792,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:12:19,477"
7768248,6941372,826876,164,18316,66048,7464,33056,10852,32992,3472,400,0,0,59836,17680,28248,15224,6632,5608,0,0,0,32712,126476,32712,93764,0,0,0,0,0,0,0,0,"2024-08-18 02:12:29,479"
7768248,6933760,834488,164,18564,66760,7456,33608,11108,33152,3472,400,8,0,60136,17768,28820,15224,6648,5996,0,0,0,32576,126212,32576,93636,0,0,0,0,0,0,0,0,"2024-08-18 02:12:39,891"
7768248,6930668,837580,164,18596,66348,7456,33068,11140,33280,3472,400,4,0,60276,17768,28316,15224,6648,5608,0,0,0,32440,125844,32440,93404,0,0,0,0,0,0,0,0,"2024-08-18 02:12:49,893"
7768248,6930972,837276,180,20244,65532,8036,32204,12208,33328,3472,400,4,0,61604,18720,27956,15224,6672,5628,0,0,0,32440,125836,32440,93396,0,0,0,0,0,0,0,0,"2024-08-18 02:12:59,894"
