Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-08-18 02:10:09,458"
0,-6314396,6314396,21116,-108456,6428944,4092,6866676,-112548,-437732,0,0,-104,0,-529624,-43528,6850388,-484,0,16500,0,0,0,-10368,-10204,-10368,164,0,0,0,0,0,0,0,0,"2024-08-18 02:10:19,460"
0,-6316132,6316132,21116,-107260,6428960,4092,6866676,-111352,-437716,0,0,-104,0,-528412,-42640,6850388,-484,0,16500,0,0,0,-10368,-10204,-10368,164,0,0,0,0,0,0,0,0,"2024-08-18 02:10:29,463"
0,-6316132,6316132,21116,-107260,6428960,4092,6866676,-111352,-437716,0,0,-104,0,-528412,-42640,6850388,-484,0,16500,0,0,0,-10368,-10204,-10368,164,0,0,0,0,0,0,0,0,"2024-08-18 02:10:39,464"
0,-6316132,6316132,21116,-107260,6428960,4092,6866676,-111352,-437716,0,0,-104,0,-528412,-42640,6850388,-484,0,16500,0,0,0,-10368,-10204,-10368,164,0,0,0,0,0,0,0,0,"2024-08-18 02:10:49,465"
0,-6319912,6319912,21120,-103368,6427836,5092,6865708,-108460,-437872,0,0,-104,0,-525664,-40816,6850516,-484,16,16504,0,0,0,-10368,-10204,-10368,164,0,0,0,0,0,0,0,0,"2024-08-18 02:10:59,466"
0,-6322684,6322684,21120,-101896,6427948,5092,6865788,-106988,-437840,0,0,-104,0,-524108,-39904,6850516,-484,16,16504,0,0,0,-10368,-10204,-10368,164,0,0,0,0,0,0,0,0,"2024-08-18 02:11:09,467"
0,-6337196,6337196,20824,-101396,6444284,3684,6858048,-105080,-413764,0,0,-104,0,-498276,-39088,6841696,-484,16,16504,0,0,0,-10336,-10172,-10336,164,0,0,0,0,0,0,0,0,"2024-08-18 02:11:19,469"
0,-6337008,6337008,20824,-101396,6444284,3684,6858048,-105080,-413764,0,0,-104,0,-498276,-39088,6841696,-484,16,16504,0,0,0,-10508,-10344,-10508,164,0,0,0,0,0,0,0,0,"2024-08-18 02:11:29,470"
0,-6338920,6338920,20824,-101324,6446440,3684,6858084,-105008,-411644,0,0,-104,0,-496108,-39088,6841748,-484,16,16504,0,0,0,-10756,-10592,-10756,164,0,0,0,0,0,0,0,0,"2024-08-18 02:11:39,471"
