nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_swapcached,pgpromote_success,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgdemote_kswapd,pgdemote_direct,pgscan_kswapd,pgscan_direct,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-08-27 10:47:32,636"
-1502608,1709718,1190,-118588,-50824,0,-6,0,0,0,0,2103454,2149,2149,0,1091,2104512,1709718,1190,-118588,-50824,0,-10451,14,0,0,943,100,2946,0,2946,0,2362,17757,1705695,-20888,-164063,-6,0,0,-116,0,0,0,0,0,392744,1,5,392755,0,0,0,0,16,4087,5405,0,-334323,-166957,12328,1571044,100,392744,0,388939,1716664,0,0,0,6,1313,0,0,0,0,564387,17583,70141,0,2098909,183,0,74030,168,501281,58556,0,0,2201248,447798,0,2455347,193699,387436,172401,0,0,133878,2119,26,0,27,387581,0,0,0,0,0,0,0,0,872,1,0,0,0,84154,66112,1946,0,0,0,17,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,"2024-08-27 10:47:42,637"
-3810304,3996704,1408,-105620,-48171,0,8,0,0,0,0,4411378,2149,2149,0,2309015,2104512,3996704,1408,-105620,-48171,0,-10419,-14,0,0,877,118,5525,0,5525,0,4405,17757,3992886,-20095,-148438,8,0,0,-107,0,0,0,0,0,392744,1,37,392773,0,0,0,0,-736,8563,5414,0,-792626,-395829,74692,1571232,118,392744,0,388939,4024596,0,0,0,6,1313,0,0,0,0,565109,17836,70141,0,4387350,300,0,74030,214,501281,58556,0,0,2201248,447798,0,2455347,193699,387436,172401,0,0,133878,2119,26,0,27,387582,0,0,0,1178430,0,222,222,0,872,1,0,0,0,84154,66112,1946,0,0,0,17,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,"2024-08-27 10:47:52,639"
-8430861,8607902,1408,-105593,-47943,0,-8,0,0,0,0,9031866,2149,2149,0,6929504,2104512,8607902,1408,-105593,-47943,0,-10415,-14,0,0,876,118,5642,0,5642,0,4521,17757,8604082,-20076,-148170,-8,0,0,-107,0,0,0,0,0,392744,1,43,392795,0,0,0,0,-736,17569,5414,0,-1716460,-857182,75752,1571328,118,392744,0,388939,8645086,0,0,0,6,1313,0,0,0,0,565114,17836,70141,0,8999121,302,0,74030,230,501281,58556,0,0,2201248,447798,0,2455347,193699,387436,172401,0,0,133878,2119,26,0,27,387582,0,0,0,3210046,0,778,778,0,872,1,0,0,0,84154,66112,1946,0,0,0,17,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,"2024-08-27 10:48:02,641"
-13045170,13213140,1408,-105588,-47943,0,-8,0,0,0,0,18266378,2149,2149,0,11543804,2104512,13213140,1408,-105588,-47943,0,-10415,-14,0,0,876,118,5642,0,5642,0,4521,17757,13209310,-20076,-148168,-8,0,0,-107,0,0,0,0,0,392744,1,49,392801,0,0,0,0,-736,26595,5414,0,-2639096,-1317937,75752,1571352,118,392744,0,388939,13259385,0,0,0,6,1313,0,0,0,0,565122,17836,70141,0,13604750,302,0,74030,240,501281,58556,0,0,2201248,447798,0,2455347,193699,387436,172401,0,0,133878,2119,26,0,27,387582,0,0,0,5700414,0,1119,1119,0,872,1,0,0,0,84154,66112,1946,0,0,0,17,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,"2024-08-27 10:48:12,642"
-15187191,14431711,1408,794482,-28996,0,-8,0,0,0,0,20406812,2149,2149,0,13684237,2104512,14431711,1408,794482,-28996,0,-8331,18,0,0,875,118,5705,0,5705,0,4544,17757,14427880,-20030,770872,-8,0,0,-107,0,0,0,0,0,392744,1,54,392806,0,0,0,0,-736,28987,5414,0,-2883637,-1440058,3751908,1571372,118,392744,0,388939,15399810,0,0,0,6,1313,0,0,0,0,565133,35836,70141,0,15742397,305,0,74030,244,501281,58556,0,0,2201248,447798,0,2455347,193699,387436,172401,0,0,133878,2119,26,0,27,387582,0,0,0,7273278,0,920303,920303,0,872,1,0,0,0,84154,66112,1946,0,0,0,17,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,"2024-08-27 10:48:22,643"
-16496621,14431716,1408,2073978,-2117,0,-8,0,0,0,0,21713984,2149,2149,0,14991409,2104512,14431716,1408,2073978,-2117,0,-5371,60,0,0,875,118,5705,0,5705,0,4544,17757,14427887,-20030,2077240,-8,0,0,-107,0,0,0,0,0,392744,1,60,392812,0,0,0,0,-736,28987,5414,0,-2884248,-1440363,8977500,1571396,118,392744,0,388939,16706982,0,0,0,6,1313,0,0,0,0,565136,61580,70141,0,16508976,305,0,74030,244,501281,58556,0,0,2201248,447798,0,2455347,193699,387436,172401,0,0,133878,2119,26,0,27,387582,0,0,0,8453345,0,1686875,1686875,0,872,1,0,0,0,84154,66112,1946,0,0,0,17,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,"2024-08-27 10:48:32,645"
-17743046,14429723,1152,3290063,27580,0,-8,0,0,0,0,23003344,6247,6247,0,16280769,2108610,14429723,1152,3290063,27580,0,-2709,110,0,0,1629,118,5705,0,5705,0,4544,17757,14425677,-20030,3322977,-8,0,0,-107,0,0,0,0,0,394959,1,65,395032,0,0,0,0,-768,28987,5374,0,-2881865,-1439173,14148244,1580276,118,394959,0,388939,18000440,0,0,0,6,1313,0,0,0,0,614371,90038,70420,0,17221540,305,0,74311,245,550457,58556,0,0,2260729,447798,0,2460030,248497,389691,219322,0,0,145142,2119,26,0,29,389772,0,0,0,9632993,0,2399400,2399400,0,872,1,0,0,0,84154,66112,1946,0,0,0,18,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,"2024-08-27 10:48:42,646"
-17730315,14424953,1342,3249440,56500,0,-8,0,0,0,0,24307041,13437,13437,0,17584465,2115801,14424953,1342,3249440,56500,0,130,158,0,0,15293,132,6292,0,6292,0,4713,18525,14421085,-19608,3311353,-8,0,0,-107,0,0,0,0,0,399593,1,72,399673,0,0,0,0,-768,28993,5411,0,-2884171,-1440325,19386248,1598840,132,399593,0,388939,19311332,0,0,0,6,1313,0,0,0,0,1940788,117550,70538,0,17941128,345,0,74457,270,1876242,58556,0,0,3595995,447798,0,2469377,1574416,394302,1540496,0,0,145910,2119,26,84,117,394393,0,0,0,10747105,0,3118110,3118110,0,872,1,0,0,0,84154,66112,1946,0,0,0,21,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,"2024-08-27 10:48:52,647"
-17736119,14424964,1342,3225403,83773,0,-8,0,0,0,0,25589593,13437,13437,0,18867017,2115801,14424964,1342,3225435,83773,0,2871,200,0,0,29281,135,6376,0,6376,0,4713,19421,14421090,-19560,3314656,-8,0,0,-107,0,0,0,0,0,399593,1,78,399679,0,0,0,0,-768,28993,5414,0,-2883552,-1440016,24513544,1598864,135,399593,0,388939,20593886,0,0,0,6,1313,0,0,0,0,3219415,143625,70538,0,19102336,352,0,74457,270,3154816,58556,0,0,4878700,447798,0,2469377,2857121,394302,2819070,0,0,146806,2119,26,171,204,394393,0,0,0,11926753,0,4279302,4279302,0,872,1,0,0,0,84154,66112,1946,0,0,0,21,84154,66112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,"2024-08-27 10:49:02,648"
