Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
7768248,6128640,1639608,0,205036,607892,436,91844,204600,516048,20612,17540,0,0,732264,151716,101764,4332,5968,7492,0,0,0,87288,183556,87288,96268,0,0,0,0,0,0,0,0,"2024-08-19 05:05:30,057"
7768248,73744,7694504,3244,4108,6906104,1084,6904844,3024,1260,20612,17540,0,0,18600,10396,6912640,4052,5880,23988,0,0,0,43656,139992,43656,96336,0,0,0,0,0,0,0,0,"2024-08-19 05:05:40,081"
7768248,71508,7696740,3244,5808,6906096,1084,6904836,4724,1260,20612,17540,0,0,20300,11756,6912632,4052,5880,23988,0,0,0,43656,139992,43656,96336,0,0,0,0,0,0,0,0,"2024-08-19 05:05:50,083"
7768248,71008,7697240,3244,6272,6906092,1084,6904836,5188,1256,20612,17540,0,0,20796,12084,6912648,4052,5864,23988,0,0,0,43656,139992,43656,96336,0,0,0,0,0,0,0,0,"2024-08-19 05:06:00,085"
7768248,66984,7701264,3296,7912,6906240,1084,6904980,6828,1260,20612,17540,0,0,22616,12644,6912776,4052,5880,23996,0,0,0,43648,139980,43648,96332,0,0,0,0,0,0,0,0,"2024-08-19 05:06:10,086"
7768248,66732,7701516,3296,8124,6906244,1084,6904984,7040,1260,20612,17540,0,0,22812,12772,6912776,4052,5880,23996,0,0,0,43648,139980,43648,96332,0,0,0,0,0,0,0,0,"2024-08-19 05:06:20,087"
7768248,67380,7700868,3296,8124,6906244,1084,6904984,7040,1260,20612,17540,0,0,22812,12772,6912776,4052,5880,23996,0,0,0,43648,139980,43648,96332,0,0,0,0,0,0,0,0,"2024-08-19 05:06:30,088"
7768248,62176,7706072,3420,11444,6907764,1084,6896380,10360,11384,20612,17540,0,0,36512,14800,6904024,4052,5880,23996,0,0,0,43696,140028,43696,96332,0,0,0,0,0,0,0,0,"2024-08-19 05:06:40,089"
7768248,62716,7705532,3420,11492,6907776,1084,6896392,10408,11384,20612,17540,0,0,36512,14800,6904048,4052,5880,23996,0,0,0,43696,140028,43696,96332,0,0,0,0,0,0,0,0,"2024-08-19 05:06:50,090"
7768248,62748,7705500,3420,11492,6907776,1084,6896392,10408,11384,20612,17540,0,0,36512,14800,6904048,4052,5880,23996,0,0,0,43660,139992,43660,96332,0,0,0,0,0,0,0,0,"2024-08-19 05:07:00,092"
