nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_swapcached,pgpromote_success,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgdemote_kswapd,pgdemote_direct,pgscan_kswapd,pgscan_direct,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
17815531,31273,1050,234518,78892,5391,2,4623,0,0,0,3458461,0,0,2313490,2281411,1177050,31273,1050,234518,78892,5391,29526,37550,0,0,0,0,0,0,0,0,0,0,31570,47989,319715,2,0,0,4237,0,0,0,0,0,0,0,19204,19149,0,0,0,0,9624,3011,0,0,3611057,1803324,1012755,81788,0,0,1024,2982,3500785,0,0,0,0,0,0,0,0,0,21409798,42522,0,963,2930832,4540,0,0,134675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300300,0,2245603,2252279,2247656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1,0,"2024-08-19 05:05:30,057"
16318862,1734700,1213,105837,30236,5391,0,4623,0,0,0,5563117,283,283,2313490,2809643,2753757,1734700,1213,105837,30236,5391,18896,37589,0,0,1535,253,2115,1,2115,0,1537,17419,1734462,13894,143198,0,0,0,4167,0,0,0,0,0,395590,0,19210,414747,0,0,0,0,9536,7137,962,0,3276338,1636169,1022507,1664180,296,395590,1024,391921,5216785,0,0,0,7,1554,0,0,0,0,21989329,62203,70356,963,5029896,4891,0,73917,134906,500471,73978,0,0,2073007,599390,0,2459514,212883,394867,179582,0,0,144205,1103,33,1,35,395047,0,0,0,0,0,0,0,0,1304,3,0,0,0,3780,56457,3231,0,0,0,17,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,122,1,0,"2024-08-19 05:05:40,075"
13992915,4042086,1213,118771,31121,5391,0,4623,0,0,0,7888920,283,283,2313490,5135446,2753757,4042086,1213,118771,31121,5391,18928,37591,0,0,1512,617,2983,1,2983,0,2132,17419,4041850,14609,157351,0,0,0,4167,0,0,0,0,0,395590,0,19216,414753,0,0,0,0,9536,11582,1288,0,2814025,1405294,1079407,1664204,617,395590,1024,391921,7542596,0,0,0,7,1554,0,0,0,0,21989337,62212,70356,963,7337610,5247,0,73917,135070,500471,73978,0,0,2073007,599390,0,2459514,212883,394867,179582,0,0,144205,1103,33,1,35,395047,0,0,0,1173647,0,75,73,2,1306,3,0,0,0,3780,56457,3231,0,0,0,17,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,122,1,0,"2024-08-19 05:05:50,083"
9374809,8651022,1213,118772,31289,5391,0,4623,0,0,0,12507062,283,283,2313490,9753588,2753757,8651022,1213,118772,31289,5391,18928,37591,0,0,1501,639,3170,1,3170,0,2306,17419,8650792,14736,157543,0,0,0,4167,0,0,0,0,0,395590,0,19221,414758,0,0,0,0,9520,20583,1292,0,1890663,944177,1079931,1664224,640,395590,1024,391921,12160738,0,0,0,7,1554,0,0,0,0,21989355,62213,70356,963,11947008,5274,0,73917,135088,500471,73978,0,0,2073007,599390,0,2459514,212883,394867,179582,0,0,144205,1103,33,1,35,395047,0,0,0,3205263,0,410,408,2,1306,3,0,0,0,3780,56457,3231,0,0,0,17,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,122,1,0,"2024-08-19 05:06:00,084"
4748649,13264995,1214,118810,32842,5391,0,4623,0,0,0,17132405,283,283,2313490,14378931,2753757,13264995,1214,118810,32842,5391,18926,37589,0,0,1471,663,4794,1,4794,0,3589,17419,13264738,15317,159246,0,0,0,4167,0,0,0,0,0,395590,0,19227,414764,0,0,0,0,9520,29619,1308,0,965975,482398,1086719,1664248,665,395590,1024,391921,16786082,0,0,0,7,1554,0,0,0,0,21990062,62231,70356,963,16562118,5375,0,73917,135123,500471,73978,0,0,2073007,599390,0,2459514,212883,394867,179582,0,0,144205,1103,33,1,35,395047,0,0,0,5695631,0,737,735,2,1306,3,0,0,0,3780,56457,3231,0,0,0,17,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,122,1,0,"2024-08-19 05:06:10,086"
2537719,14457331,1214,1111772,53836,5391,0,4623,0,0,0,19341533,283,283,2313490,16588059,2753757,14457331,1214,1111772,53836,5391,21222,37615,0,0,1470,673,4843,1,4843,0,3589,17419,14457062,15349,1173186,0,0,0,4167,0,0,0,0,0,395590,0,19232,414769,0,0,0,0,9520,32035,1313,0,726639,362876,5142487,1664268,673,395590,1024,391921,18995201,0,0,0,7,1554,0,0,0,0,21990072,82166,70356,963,18768489,5385,0,73917,135127,500471,73978,0,0,2073007,599390,0,2459514,212883,394867,179582,0,0,144205,1103,33,1,35,395047,0,0,0,7268495,0,1014843,1014841,2,1306,3,0,0,0,3780,56457,3231,0,0,0,17,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:06:20,087"
1118902,14457331,1214,2498354,83030,5391,0,4623,0,0,0,20758222,283,283,2313490,18004748,2753757,14457331,1214,2498354,83030,5391,24434,37665,0,0,1470,674,4843,1,4843,0,3589,17419,14457063,15349,2588966,0,0,0,4167,0,0,0,0,0,395590,0,19238,414775,0,0,0,0,9520,32035,1314,0,726031,362572,10805891,1664292,676,395590,1024,391921,20411890,0,0,0,7,1554,0,0,0,0,21990084,109991,70356,963,19556577,5388,0,73917,135128,500471,73978,0,0,2073007,599390,0,2459514,212883,394867,179582,0,0,144205,1103,33,1,35,395047,0,0,0,8579237,0,1802927,1802925,2,1306,3,0,0,0,3780,56457,3231,0,0,0,17,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:06:30,088"
70091,14455197,1214,3514190,114462,5391,0,4623,0,0,0,22179385,2868,2868,2313490,19425911,2756342,14455197,1214,3514190,114462,5391,27634,37715,0,0,5444,680,6556,1,6556,0,3936,17547,14454890,16414,3636318,0,0,0,4167,0,0,0,0,0,397803,0,19243,416993,0,0,0,0,9520,32035,1349,0,725722,362418,16492879,1673164,680,397803,1024,391921,21835638,0,0,0,7,1554,0,0,0,0,22367871,138447,70367,963,20341402,5528,0,73929,135131,877120,73978,0,0,2452499,599390,0,2464195,587694,397050,554048,0,0,144333,1103,33,22,58,397230,0,0,0,9824421,0,2587298,2587296,2,1306,3,0,0,0,3780,56457,3231,0,0,0,18,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:06:40,089"
74966,14455202,1214,3477263,143692,5391,0,4623,0,0,0,23589791,2868,2868,2313490,20836317,2756342,14455202,1214,3477253,143692,5391,30654,37761,0,0,19926,684,6558,1,6558,0,3938,18571,14454898,16414,3628592,0,0,0,4167,0,0,0,0,0,397803,0,19250,417000,0,0,0,0,9520,32035,1349,0,725156,362135,22131299,1673192,684,397803,1024,391921,23246044,0,0,0,7,1554,0,0,0,0,23785135,166372,70367,963,21165511,5532,0,73929,135133,2294374,73978,0,0,3870446,599390,0,2464195,2005641,397050,1971302,0,0,145357,1103,33,108,144,397230,0,0,0,11004069,0,3411399,3411397,2,1306,3,0,0,0,3780,56457,3231,0,0,0,18,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:06:50,090"
77408,14455205,1214,3443171,172268,5391,0,4623,0,0,0,24964842,2868,2868,2313490,22211368,2756342,14455205,1214,3443157,172268,5391,33589,37807,0,0,35065,684,6558,1,6558,0,3938,19723,14454901,16414,3623071,0,0,0,4167,0,0,0,0,0,397803,0,19256,417006,0,0,0,0,9520,32035,1349,0,724541,361828,27628383,1673216,685,397803,1024,391921,24621095,0,0,0,7,1554,0,0,0,0,25164959,193685,70367,963,22539893,5533,0,73929,135134,3674172,73978,0,0,5250737,599390,0,2464195,3385932,397050,3351100,0,0,146509,1103,33,195,231,397230,0,0,0,12249253,0,4785776,4785774,2,1306,3,0,0,0,3780,56457,3231,0,0,0,18,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:07:00,092"
68996,14455205,1215,3419042,201238,5391,0,4623,0,0,0,26356617,2868,2868,2313490,23603143,2756342,14455205,1215,3419042,201238,5391,36584,37846,0,0,49658,685,6558,1,6558,0,3938,20363,14454906,16411,3627912,0,0,0,4167,0,0,0,0,0,397803,0,19263,417013,0,0,0,0,9520,32035,1350,0,723879,361497,33190163,1673244,685,397803,1024,391921,26012870,0,0,0,7,1554,0,0,0,0,26551282,221285,70367,963,23931149,5533,0,73929,135156,5059883,73978,0,0,6636975,599390,0,2464195,4772170,397050,4736811,0,0,147149,1103,33,282,318,397230,0,0,0,13490084,0,6176378,6176376,2,1306,3,0,0,0,3780,56457,3231,0,0,0,18,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:07:10,093"
63868,14455205,1215,3391948,229860,5391,0,4623,0,0,0,27743693,3541,3541,2313490,24990219,2757015,14455205,1215,3391984,229860,5391,39713,37894,0,0,64087,685,6559,1,6559,0,3939,20491,14454912,16387,3629596,0,0,0,4167,0,0,0,0,0,397803,0,19269,417019,0,0,0,0,9520,32035,1350,0,724192,361653,38737855,1673268,685,397803,1024,391921,27400619,0,0,0,7,1554,0,0,0,0,27936524,248598,70367,963,25318322,5533,0,73929,135156,6445118,73978,0,0,8022632,599390,0,2464195,6157827,397050,6122046,0,0,147277,1103,33,369,405,397230,0,0,0,14604196,0,7563544,7563542,2,1306,3,0,0,0,3780,56457,3231,0,0,0,18,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:07:20,095"
75900,14455209,1215,3348859,258096,5391,0,4623,0,0,0,29113848,3541,3541,2313490,26360374,2757015,14455209,1215,3348770,258096,5391,42818,37944,0,0,78506,687,6559,1,6559,0,3939,20491,14454916,16027,3614562,0,0,0,4167,0,0,0,0,0,397803,0,19276,417026,0,0,0,0,9520,32035,1352,0,722528,360823,44215215,1673296,687,397803,1024,391921,28770774,0,0,0,7,1554,0,0,0,0,29320906,275625,70367,963,26687879,5535,0,73929,135156,7829493,73978,0,0,9407040,599390,0,2464195,7542235,397050,7506421,0,0,147277,1103,33,456,492,397230,0,0,0,15652772,0,8933097,8933095,2,1306,3,0,0,0,3780,56457,3231,0,0,0,18,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:07:30,096"
57533,14452996,1215,3339899,284894,5391,0,4623,0,0,0,30412165,5370,5370,2313490,27658691,2758844,14452996,1215,3339945,284894,5391,45538,37990,0,0,90369,687,6559,1,6559,0,3939,22148,14452743,15835,3632511,0,0,0,4167,0,0,0,0,0,399981,0,19282,419210,0,0,0,0,9520,32035,1317,0,724791,361953,49412739,1682032,687,399981,1024,391921,30070920,0,0,0,7,1554,0,0,0,0,30604598,301356,70378,963,27987450,5535,0,73941,135156,9113129,73978,0,0,10693175,599390,0,2468871,8823694,399263,8787844,0,0,148941,1103,33,539,577,399384,0,0,0,16766884,0,10232663,10232661,2,1306,3,0,0,0,3780,56457,3231,0,0,0,19,3780,56457,0,0,0,0,2300312,0,2245615,2252291,2247656,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,122,1,0,"2024-08-19 05:07:40,097"
