nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_swapcached,pgpromote_success,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgdemote_kswapd,pgdemote_direct,pgscan_kswapd,pgscan_direct,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-08-19 03:19:29,856"
-1514297,1714968,101,-127515,-47119,0,13,0,0,0,0,2105801,140,140,0,492244,1613697,1714968,101,-127515,-47119,0,-6909,9,0,0,1813,283,1774,0,1774,0,1527,5673,1714485,-22450,-173791,13,0,0,-77,0,0,0,0,0,384014,115,149,384150,0,0,0,0,-728,4159,862,0,-337704,-168645,11380,1537192,284,384014,0,388938,1717003,0,0,0,9,1428,0,0,0,0,566352,12884,61503,0,2099748,356,0,64181,250,486693,73897,0,0,2072802,577694,0,2452134,198362,383379,177211,0,0,125991,2446,22,0,23,383593,0,0,0,0,0,0,0,0,2375,2,0,0,0,4457,49870,5196,0,0,0,7,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,"2024-08-19 03:19:39,874"
-3825749,4007669,101,-114579,-46204,0,-1,0,0,0,0,4416735,140,140,0,2803178,1613697,4007669,101,-114579,-46204,0,-6875,27,0,0,1783,598,2580,0,2580,0,2129,5673,4007174,-21675,-159743,-1,0,0,-77,0,0,0,0,0,384014,115,158,384173,0,0,0,0,-728,8640,1180,0,-797112,-398069,67648,1537292,599,384014,0,388938,4027946,0,0,0,9,1428,0,0,0,0,566359,12895,61503,0,4392776,705,0,64181,415,486693,73897,0,0,2072802,577694,0,2452134,198362,383379,177211,0,0,125991,2446,22,0,23,383600,0,0,0,1166402,0,75,75,0,2375,2,0,0,0,4457,49870,5196,0,0,0,7,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,"2024-08-19 03:19:49,882"
-8438238,8611069,101,-114577,-46204,0,-2,0,0,0,0,9029191,140,140,0,7415634,1613697,8611069,101,-114577,-46204,0,-6875,27,0,0,1783,622,2580,0,2580,0,2129,5673,8610570,-21675,-159736,-2,0,0,-77,0,0,0,0,0,384014,115,163,384179,0,0,0,0,-808,17634,1186,0,-1719384,-858642,67740,1537316,622,384014,0,388938,8640401,0,0,0,9,1428,0,0,0,0,566381,12895,61503,0,8996569,728,0,64181,434,486693,73897,0,0,2072802,577694,0,2452134,198362,383379,177211,0,0,125991,2446,22,0,23,383600,0,0,0,3263554,0,412,412,0,2375,2,0,0,0,4457,49870,5196,0,0,0,7,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,"2024-08-19 03:19:59,883"
-13062556,13226415,101,-114577,-46204,0,-2,0,0,0,0,13653609,140,140,0,12040052,1613697,13226415,101,-114577,-46204,0,-6875,19,0,0,1783,636,2580,0,2580,0,2129,5673,13225917,-21675,-159728,-2,0,0,-77,0,0,0,0,0,384014,115,169,384185,0,0,0,0,-792,26680,1192,0,-2644022,-1320396,67800,1537340,637,384014,0,388938,13264819,0,0,0,9,1428,0,0,0,0,566390,12895,61503,0,13612286,742,0,64181,447,486693,73897,0,0,2072802,577694,0,2452134,198362,383379,177211,0,0,125991,2446,22,0,23,383600,0,0,0,5688386,0,738,738,0,2375,2,0,0,0,4457,49870,5196,0,0,0,7,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,"2024-08-19 03:20:09,884"
-15291822,14437533,101,877966,-25405,0,-2,0,0,0,0,15881074,140,140,0,14267517,1613697,14437533,101,877966,-25405,0,-4591,51,0,0,1783,641,2580,0,2580,0,2129,5673,14437039,-21675,853738,-2,0,0,-77,0,0,0,0,0,384014,115,174,384190,0,0,0,0,-792,29056,1192,0,-2887148,-1441811,4121692,1537360,641,384014,0,388938,15492276,0,0,0,9,1428,0,0,0,0,566399,32815,61503,0,15837028,746,0,64181,451,486693,73897,0,0,2072802,577694,0,2452134,198362,383379,177211,0,0,125991,2446,22,0,23,383600,0,0,0,7326786,0,1014458,1014458,0,2375,2,0,0,0,4457,49870,5196,0,0,0,7,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,"2024-08-19 03:20:19,886"
-16710669,14437534,101,2264277,3913,0,-2,0,0,0,0,17297469,140,140,0,15683912,1613697,14437534,101,2264277,3913,0,-1371,103,0,0,1783,644,2600,0,2600,0,2149,5673,14437046,-21659,2269263,-2,0,0,-77,0,0,0,0,0,384014,115,180,384196,0,0,0,0,-792,29056,1195,0,-2887791,-1442132,9783900,1537384,645,384014,0,388938,16908671,0,0,0,9,1428,0,0,0,0,566408,61060,61503,0,16617957,751,0,64181,453,486693,73897,0,0,2072802,577694,0,2452134,198362,383379,177211,0,0,125991,2446,22,0,23,383600,0,0,0,8506678,0,1795374,1795374,0,2375,2,0,0,0,4457,49870,5196,0,0,0,7,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,"2024-08-19 03:20:29,887"
-17724199,14435319,100,3246006,34622,0,-2,0,0,0,0,18696144,3167,3167,0,17082587,1616724,14435319,100,3246107,34622,0,1571,152,0,0,5884,702,2730,6,2730,0,2151,5801,14434795,-21567,3281966,-2,0,0,-77,0,0,0,0,0,386365,115,185,386552,0,0,0,0,-728,29065,1314,0,-2887989,-1442231,15384872,1546808,702,386365,0,388938,18310373,0,0,0,9,1428,0,0,0,0,956965,90604,61512,0,17390957,811,0,64190,511,876603,73897,0,0,2466848,577694,0,2456838,587704,385668,564832,0,0,137383,2446,22,22,47,385934,0,0,0,9686326,0,2567506,2567506,0,2375,2,0,0,0,4457,49870,5196,0,0,0,8,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,0,0,0,0,"2024-08-19 03:20:39,889"
-17730362,14435334,100,3217762,65767,0,-2,0,0,0,0,20100906,3167,3167,0,18487349,1616724,14435334,100,3217757,65767,0,4595,200,0,0,20240,704,2730,6,2730,0,2151,6825,14434800,-21567,3284727,-2,0,0,-77,0,0,0,0,0,386365,115,192,386559,0,0,0,0,-728,29065,1315,0,-2887469,-1441971,21000732,1546836,705,386365,0,388938,19715135,0,0,0,9,1428,0,0,0,0,2358158,120351,61512,0,18201491,814,0,64190,513,2277783,73897,0,0,3872325,577694,0,2456838,1993181,385668,1966012,0,0,138407,2446,22,108,133,385934,0,0,0,10931510,0,3378030,3378030,0,2375,2,0,0,0,4457,49870,5196,0,0,0,8,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,0,0,0,0,"2024-08-19 03:20:49,890"
-17731428,14435336,100,3185601,96161,0,-2,0,0,0,0,21472436,3167,3167,0,19858879,1616724,14435336,100,3185601,96161,0,7565,244,0,0,35415,705,2730,6,2730,0,2151,7721,14434802,-21567,3283007,-2,0,0,-77,0,0,0,0,0,386365,115,198,386565,0,0,0,0,-728,29065,1316,0,-2887821,-1442147,26483724,1546860,705,386365,0,388938,21086665,0,0,0,9,1428,0,0,0,0,3730775,149432,61512,0,19572342,814,0,64190,513,3650386,73897,0,0,5249007,577694,0,2456838,3369863,385668,3338615,0,0,139303,2446,22,195,220,385934,0,0,0,12176694,0,4748880,4748880,0,2375,2,0,0,0,4457,49870,5196,0,0,0,8,4457,49870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,0,0,0,0,"2024-08-19 03:20:59,892"
