nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,nr_unaccepted,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_sec_page_table_pages,nr_iommu_pages,nr_swapcached,pgpromote_success,pgpromote_candidate,pgdemote_kswapd,pgdemote_direct,pgdemote_khugepaged,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,pgalloc_device,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,allocstall_device,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgskip_device,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgsteal_khugepaged,pgscan_kswapd,pgscan_direct,pgscan_khugepaged,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,zswpwb,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
17839591,31411,1050,209784,68450,5391,0,4623,0,0,0,0,3542013,0,0,2434413,2303740,1238273,31411,1050,209784,68450,5391,23782,38974,0,0,0,0,0,0,0,0,0,0,31790,45297,284589,0,0,0,4235,0,0,0,0,0,0,0,18705,18652,0,0,448,448,11232,3381,2097,2097,0,0,0,0,0,0,3608835,1802214,1011807,79076,0,0,1024,2988,3654546,0,0,0,0,0,0,0,0,0,0,0,0,21527914,38050,0,710,3031405,4573,0,0,128057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,"2024-09-05 08:22:52,778"
16291603,1738293,1139,117161,32983,5391,0,4623,0,0,0,0,5645459,1267,1267,2434413,4407186,1239540,1738293,1139,117161,32983,5391,18090,38954,0,0,1201,0,534,0,534,0,459,9167,1736726,37238,158464,0,0,0,4068,0,0,0,0,0,393461,3,18713,412121,0,0,448,448,11280,7468,2097,2097,2218,0,0,0,0,0,3273701,1634852,1014659,1652952,117,393461,3680,396657,5364761,0,0,0,0,5,970,0,0,0,0,0,0,22060947,44810,42763,710,5129990,4683,0,45774,128183,414327,105838,0,1908536,707539,0,6,2478938,137137,391349,128816,0,0,108452,2270,12,0,13,392804,0,0,0,0,0,0,0,0,3274,12,0,0,0,88002,137986,7368,0,0,0,10,88002,137986,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,114,0,0,"2024-09-05 08:23:02,781"
14110448,3898709,1139,129950,33479,5391,0,4623,0,0,0,0,7824008,1267,1267,2434413,6585735,1239540,3898709,1139,129950,33479,5391,18088,38952,0,0,1193,1,906,0,906,0,790,9167,3897163,37598,171760,0,0,0,4068,0,0,0,0,0,393461,3,18719,412127,0,0,448,448,11280,11699,2097,2097,2220,0,0,0,0,0,2840233,1418382,1067731,1652976,121,393461,3680,396657,7543339,0,0,0,0,5,970,0,0,0,0,0,0,22061494,44932,42763,710,7291479,4707,0,45774,128237,414327,105838,0,1908536,707539,0,6,2478938,137137,391349,128816,0,0,108452,2270,12,0,13,392804,0,0,0,1059472,0,244,244,0,3274,12,0,0,0,88002,137986,7368,0,0,0,10,88002,137986,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,114,0,0,"2024-09-05 08:23:12,784"
9753753,8245744,1139,129950,33479,5391,0,4623,0,0,0,0,12179490,1267,1267,2434413,10941217,1239540,8245744,1139,129950,33479,5391,18088,38952,0,0,1193,1,906,0,906,0,790,9167,8244197,37598,171761,0,0,0,4068,0,0,0,0,0,393461,3,18724,412132,0,0,448,448,11280,20198,2097,2097,2220,0,0,0,0,0,1969107,983351,1067731,1652996,121,393461,3680,396657,11898851,0,0,0,0,5,970,0,0,0,0,0,0,22061516,44932,42763,710,11638986,4707,0,45774,128253,414327,105838,0,1908536,707539,0,6,2478938,137137,391349,128816,0,0,108452,2270,12,0,13,392804,0,0,0,3091088,0,783,783,0,3274,12,0,0,0,88002,137986,7368,0,0,0,10,88002,137986,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,114,0,0,"2024-09-05 08:23:22,786"
5417236,12574556,1139,129950,33482,5391,0,4623,0,0,0,0,16516917,1267,1267,2434413,15278644,1239540,12574556,1139,129950,33482,5391,18088,38954,0,0,1193,1,906,0,906,0,790,9167,12573114,37598,171763,0,0,0,4068,0,0,0,0,0,393461,3,18730,412138,0,0,448,448,11280,28711,2097,2097,2220,0,0,0,0,0,1102016,550335,1067731,1653020,121,393461,3680,396657,16236310,0,0,0,0,5,970,0,0,0,0,0,0,22061553,44932,42763,710,15968227,4707,0,45774,128261,414327,105838,0,1908536,707539,0,6,2478938,137137,391349,128816,0,0,108452,2270,12,0,13,392804,0,0,0,5515920,0,1102,1102,0,3274,12,0,0,0,88002,137986,7368,0,0,0,10,88002,137986,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,114,0,0,"2024-09-05 08:23:32,787"
2810946,14460457,1139,842785,34176,5391,0,4623,0,0,0,0,19120346,1267,1267,2434413,17882073,1239540,14460457,1139,842785,34176,5391,19592,38984,0,0,1193,1,906,0,906,0,790,9167,14458895,37598,885300,0,0,0,4068,0,0,0,0,0,393461,3,18736,412144,0,0,448,448,11280,32422,2097,2097,2220,0,0,0,0,0,723556,361336,3921971,1653044,121,393461,3680,396657,18840889,0,0,0,0,5,970,0,0,0,0,0,0,22061590,44954,42763,710,18567796,4707,0,45774,128266,414327,105838,0,1908536,707539,0,6,2478938,137137,391349,128816,0,0,108452,2270,12,0,13,392804,0,0,0,7219856,0,714898,714898,0,3274,12,0,0,0,88002,137986,7368,0,0,0,10,88002,137986,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,114,0,0,"2024-09-05 08:23:42,788"
1511628,14460465,1139,2137731,35441,5391,0,4623,0,0,0,0,20417328,1267,1267,2434413,19179055,1239540,14460465,1139,2137731,35441,5391,22532,39032,0,0,1193,1,906,0,906,0,790,9167,14458898,37598,2181419,0,0,0,4068,0,0,0,0,0,393461,3,18741,412149,0,0,448,448,11280,32422,2097,2097,2220,0,0,0,0,0,722935,361026,9106815,1653064,121,393461,3680,396657,20140124,0,0,0,0,5,970,0,0,0,0,0,0,22061642,44994,42763,710,19334331,4707,0,45774,128266,414327,105838,0,1908536,707539,0,6,2478938,137137,391349,128816,0,0,108452,2270,12,0,13,392804,0,0,0,8182393,0,1481430,1481430,0,3274,12,0,0,0,88002,137986,7368,0,0,0,10,88002,137986,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,114,0,0,"2024-09-05 08:23:52,790"
230096,14460477,1139,3413836,36863,5391,0,4623,0,0,0,0,21695689,1267,1267,2434413,20457416,1239540,14460477,1139,3413836,36863,5391,25424,39078,0,0,1193,1,1084,0,1084,0,966,9167,14458903,37785,3459047,0,0,0,4068,0,0,0,0,0,393461,3,18747,412155,0,0,448,448,11280,32422,2097,2097,2222,0,0,0,0,0,722134,360626,14217203,1653088,123,393461,3680,396657,21420704,0,0,0,0,5,970,0,0,0,0,0,0,22061687,45034,42763,710,20038565,4718,0,45774,128266,414327,105838,0,1908536,707539,0,6,2478938,137137,391349,128816,0,0,108452,2270,12,0,13,392804,0,0,0,9099897,0,2185646,2185646,0,3274,12,0,0,0,88002,137986,7368,0,0,0,10,88002,137986,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,114,0,0,"2024-09-05 08:24:02,791"
59031,14441256,1137,3589601,41836,5391,0,4623,0,0,0,0,22951183,24269,24269,2434413,21712910,1262542,14441256,1137,3589601,41836,5391,28249,39139,0,0,19478,2,1120,1,1120,0,969,10003,14440831,37128,3638671,0,0,0,4065,0,0,0,0,0,411395,3,18753,430095,0,0,448,448,11360,32438,2097,2097,1152,0,0,0,0,0,726110,362611,19325715,1724848,192,411395,3682,397036,22701011,0,0,0,0,5,970,0,0,0,0,0,0,23178114,50805,44817,710,20742419,4785,0,48151,128368,1529851,105838,0,3154718,707539,0,6,2616396,1245861,410420,1225269,0,0,109454,2270,12,67,86,410736,0,0,0,9951865,0,2888641,2888641,0,3274,12,0,0,0,88002,137986,7368,0,0,0,14,88002,137986,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,114,0,0,"2024-09-05 08:24:12,793"
71583,14441286,1137,3571780,45993,5391,0,4623,0,0,0,0,24193348,62664,62664,2434413,22955075,1300937,14441286,1137,3571780,45993,5391,29718,39137,0,0,38217,2,1146,1,1146,0,995,12949,14440842,36638,3625046,0,0,0,4065,0,0,0,0,0,411395,3,18760,430102,0,0,448,448,11360,32438,2097,2097,1158,0,0,0,0,0,723846,361481,24444967,1724876,202,411395,3686,397163,23983644,0,0,0,0,5,970,0,0,0,0,0,0,24486327,53946,45011,710,21425933,4796,0,48413,128368,2823287,105838,0,4458295,707539,0,6,2621699,2544135,410420,2518705,0,0,115648,2322,12,142,169,410736,0,0,0,10361471,0,3572114,3572114,0,16574,1439,0,0,0,200672,331826,36197,0,0,0,18,200672,331826,0,0,0,0,2313938,0,2255366,2262042,2257419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,114,0,0,"2024-09-05 08:24:22,794"
