Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 SecPageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 Unaccepted,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-06 12:24:16,977"
0,-6368720,6368720,16016,-138888,6551912,4888,6784088,-143776,-232176,0,0,0,0,-360668,-13824,6773984,-696,48,16588,0,0,0,0,-20284,-21076,-20284,-792,0,0,0,0,0,0,0,0,0,"2024-09-06 12:24:26,979"
0,-6376468,6376468,16536,-137328,6552684,4880,6784676,-142208,-231992,0,0,-52,0,-358256,-12444,6774616,-696,48,16588,0,0,0,0,-20284,-21076,-20284,-792,0,0,0,0,0,0,0,0,0,"2024-09-06 12:24:36,981"
0,-6377160,6377160,16524,-137348,6551864,4880,6783836,-142228,-231972,0,0,-56,0,-358268,-12444,6773788,-696,48,16588,0,0,0,0,-20284,-21076,-20284,-792,0,0,0,0,0,0,0,0,0,"2024-09-06 12:24:46,983"
0,-6377160,6377160,16524,-137348,6551864,4880,6783836,-142228,-231972,0,0,-56,0,-358268,-12444,6773792,-696,48,16588,0,0,0,0,-20284,-21076,-20284,-792,0,0,0,0,0,0,0,0,0,"2024-09-06 12:24:56,984"
0,-6381184,6381184,16524,-134608,6551952,4880,6783852,-139488,-231900,0,0,-12,0,-355368,-11808,6773796,-692,48,16588,0,0,0,0,-20284,-21088,-20284,-804,0,0,0,0,0,0,0,0,0,"2024-09-06 12:25:06,985"
0,-6381184,6381184,16548,-134488,6551972,4880,6783872,-139368,-231900,0,0,-12,0,-355208,-11704,6773856,-692,48,16588,0,0,0,0,-20284,-21088,-20284,-804,0,0,0,0,0,0,0,0,0,"2024-09-06 12:25:16,987"
0,-6385796,6385796,17180,-131760,6550912,5936,6783452,-137696,-232540,0,0,-12,0,-353572,-11376,6773872,-692,48,16588,0,0,0,0,-20284,-21100,-20284,-816,0,0,0,0,0,0,0,0,0,"2024-09-06 12:25:26,989"
0,-6424912,6424912,17180,-132680,6586800,4784,6784648,-137464,-197848,0,0,-56,0,-318716,-12852,6773896,-692,48,16588,0,0,0,0,-20216,-21080,-20216,-864,0,0,0,0,0,0,0,0,0,"2024-09-06 12:25:36,990"
0,-6426380,6426380,17112,-132788,6568188,4784,6744252,-137572,-176064,0,0,-56,0,-297108,-14904,6734260,-692,48,16588,0,0,0,0,-19720,-20592,-19720,-872,0,0,0,0,0,0,0,0,0,"2024-09-06 12:25:46,991"
