nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,nr_unaccepted,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_sec_page_table_pages,nr_iommu_pages,nr_swapcached,pgpromote_success,pgpromote_candidate,pgdemote_kswapd,pgdemote_direct,pgdemote_khugepaged,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,pgalloc_device,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,allocstall_device,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgskip_device,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgsteal_khugepaged,pgscan_kswapd,pgscan_direct,pgscan_khugepaged,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,zswpwb,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-06 12:24:16,977"
-1560126,1696070,1226,-58004,-35683,0,0,0,0,0,0,0,2103326,25,25,0,979,2102372,1696070,1226,-58004,-35683,0,-5077,-136,0,0,1331,80,275,0,275,0,273,7457,1693584,-3185,-89817,0,0,0,-173,0,0,0,0,0,404948,13,8,404956,0,0,0,0,96,4083,0,0,4016,0,0,0,0,0,-330682,-165139,1584,1619824,92,404948,2652,393647,1707131,0,0,0,0,8,701,0,0,0,0,0,0,502487,3267,38003,0,2099309,82,0,41149,188,411231,83837,0,1898763,708220,0,4,2509677,97306,401020,94048,0,3,96941,2564,7,0,8,401196,0,0,0,0,0,0,0,0,1248,2,0,0,0,8567,47256,2810,0,0,0,5,8567,47256,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,"2024-09-06 12:24:26,979"
-3736563,3850368,1224,-45034,-35169,0,-45,0,0,0,0,0,4275374,25,25,0,2173027,2102372,3850368,1224,-45034,-35169,0,-5061,-136,0,0,1325,126,799,0,799,0,683,7457,3847882,-2605,-76180,-45,0,0,-173,0,0,0,0,0,404948,13,15,405008,0,0,0,0,96,8263,0,0,4174,0,0,0,0,0,-763167,-381117,56124,1620044,280,404948,2652,393647,3879215,0,0,0,0,8,701,0,0,0,0,0,0,502569,3268,38003,0,4254072,299,0,41149,267,411231,83837,0,1898763,708220,0,4,2509677,97306,401020,94048,0,3,96941,2564,7,0,8,401208,0,0,0,1121311,0,243,243,0,1248,2,0,0,0,8567,47256,2810,0,0,0,5,8567,47256,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,"2024-09-06 12:24:36,981"
-8081153,8185048,1224,-45029,-35174,0,-52,0,0,0,0,0,8619073,25,25,0,6516726,2102372,8185048,1224,-45029,-35174,0,-5061,-136,0,0,1325,126,799,0,799,0,683,7457,8182571,-2605,-76182,-52,0,0,-173,0,0,0,0,0,404948,13,20,405020,0,0,0,0,96,16777,0,0,4171,0,0,0,0,0,-1631873,-814940,56124,1620092,280,404948,2652,393647,8222940,0,0,0,0,8,701,0,0,0,0,0,0,503150,3268,38003,0,8589792,299,0,41149,283,411231,83837,0,1898763,708220,0,4,2509677,97306,401020,94048,0,3,96941,2564,7,0,8,401214,0,0,0,3152927,0,775,775,0,1248,2,0,0,0,8567,47256,2810,0,0,0,5,8567,47256,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,"2024-09-06 12:24:46,982"
-12427711,12523858,1224,-45029,-35174,0,-52,0,0,0,0,0,12966466,25,25,0,10864119,2102372,12523858,1224,-45029,-35174,0,-5061,-129,0,0,1325,126,799,0,799,0,683,7457,12521379,-2605,-76180,-52,0,0,-173,0,0,0,0,0,404948,13,26,405026,0,0,0,0,96,25272,0,0,4171,0,0,0,0,0,-2500972,-1248959,56124,1620116,280,404948,2652,393647,12570360,0,0,0,0,8,701,0,0,0,0,0,0,503171,3268,38003,0,12928994,299,0,41149,292,411231,83837,0,1898763,708220,0,4,2509677,97306,401020,94048,0,3,96941,2564,7,0,8,401214,0,0,0,5577759,0,1098,1098,0,1248,2,0,0,0,8567,47256,2810,0,0,0,5,8567,47256,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,"2024-09-06 12:24:56,984"
-15043349,14417919,1223,669168,-33781,0,-3,0,0,0,0,0,15580597,25,25,0,13478250,2102372,14417919,1223,669168,-33781,0,-3441,-99,0,0,1321,126,1187,0,1187,0,835,7457,14415440,-2439,639452,-3,0,0,-172,0,0,0,0,0,404948,13,81,405032,0,0,0,0,96,29038,0,0,4171,0,0,0,0,0,-2880889,-1438686,2918564,1620140,281,404948,2652,393647,15185739,0,0,0,0,8,701,0,0,0,0,0,0,503574,3390,38003,0,15538639,322,0,41149,413,411231,83837,0,1898763,708220,0,4,2509677,97306,401020,94048,0,3,96941,2564,7,0,8,401214,0,0,0,7262821,0,716240,716240,0,1248,2,0,0,0,8567,47256,2810,0,0,0,5,8567,47256,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,"2024-09-06 12:25:06,985"
-16334133,14417929,1223,1954345,-32495,0,4,0,0,0,0,0,16867851,25,25,0,14765504,2102372,14417929,1223,1954345,-32495,0,-521,-52,0,0,1321,128,1219,0,1219,0,861,7457,14415460,-2413,1925934,4,0,0,-172,0,0,0,0,0,404948,13,93,405037,0,0,0,0,96,29038,0,0,4177,0,0,0,0,0,-2881753,-1439117,8064484,1620196,288,404948,2652,393647,16475223,0,0,0,0,8,701,0,0,0,0,0,0,503594,3430,38003,0,16270257,330,0,41149,414,411231,83837,0,1898763,708220,0,4,2509677,97306,401020,94048,0,3,96941,2564,7,0,8,401214,0,0,0,8195880,0,1447825,1447825,0,1248,2,0,0,0,8567,47256,2810,0,0,0,5,8567,47256,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,"2024-09-06 12:25:16,987"
-17636637,14417839,1487,3250678,-30808,0,4,0,0,0,0,0,18167307,25,25,0,16064960,2102372,14417839,1487,3250678,-30808,0,2423,-12,0,0,1313,232,1442,14,1442,0,1064,7457,14415469,-2330,3224098,4,0,0,-172,0,0,0,0,0,404948,13,99,405043,0,0,0,0,96,29038,0,0,4338,0,0,0,0,0,-2882650,-1439565,13257132,1620220,449,404948,2652,393647,17776954,0,0,0,0,8,701,0,0,0,0,0,0,504185,3913,38003,0,16986598,435,0,41149,435,411231,83837,0,1898763,708220,0,4,2509677,97306,401020,94048,0,3,96941,2564,7,0,8,401214,0,0,0,9178920,0,2163345,2163345,0,1248,2,0,0,0,8567,47256,2810,0,0,0,5,8567,47256,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,49,0,0,0,0,0,0,0,0,"2024-09-06 12:25:26,988"
-17759947,14418179,1102,3362502,-23876,0,-50,0,0,0,0,0,19471479,16759,16759,0,17369132,2119106,14418179,1102,3362472,-23876,0,4889,-12,0,0,19586,232,1443,14,1443,0,1064,8611,14415420,-2712,3342814,-50,0,0,-174,0,0,0,0,0,405005,15,107,405162,0,0,0,0,96,29038,0,0,4338,0,0,0,0,0,-2881770,-1439125,18537684,1620708,449,405005,2653,394026,19099629,0,0,0,0,8,701,0,0,0,0,0,0,1705995,10944,39750,0,17712200,436,0,43121,435,1612637,83837,0,3169371,708220,0,4,2564939,1312652,401077,1295397,0,3,112561,2564,8,77,88,401272,0,0,0,9827096,0,2888939,2888939,0,1248,2,0,0,0,8567,47256,2810,0,0,0,7,8567,47256,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,49,0,0,0,0,0,0,0,0,"2024-09-06 12:25:36,990"
-17748805,14408335,1102,3349971,-18750,0,-50,0,0,0,0,0,20678669,70953,70953,0,18576322,2173300,14408335,1102,3349911,-18750,0,7636,28,0,0,39125,232,1443,14,1443,0,1064,9383,14405597,-3225,3335350,-50,0,0,-174,0,0,0,0,0,414832,15,114,414996,0,0,0,0,96,29038,0,0,4321,0,0,0,0,0,-2882825,-1439652,23580428,1660044,449,414832,2657,394341,20362803,0,0,0,0,8,701,0,0,0,0,0,0,2987763,14990,39862,0,18389139,436,0,43243,435,2890606,83837,0,4463962,708220,0,4,2584616,2587566,410921,2563522,0,3,113681,2566,8,148,169,411082,0,0,0,10420363,0,3565875,3565875,0,4984,4,0,0,0,10614,63957,10659,0,0,0,12,10614,63957,0,0,0,0,45,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,49,0,0,0,0,0,0,0,0,"2024-09-06 12:25:46,991"
