Node 1 MemTotal,Node 1 MemFree,Node 1 MemUsed,Node 1 SwapCached,Node 1 Active,Node 1 Inactive,Node 1 Active(anon),Node 1 Inactive(anon),Node 1 Active(file),Node 1 Inactive(file),Node 1 Unevictable,Node 1 Mlocked,Node 1 Dirty,Node 1 Writeback,Node 1 FilePages,Node 1 Mapped,Node 1 AnonPages,Node 1 Shmem,Node 1 KernelStack,Node 1 PageTables,Node 1 SecPageTables,Node 1 NFS_Unstable,Node 1 Bounce,Node 1 WritebackTmp,Node 1 KReclaimable,Node 1 Slab,Node 1 SReclaimable,Node 1 SUnreclaim,Node 1 AnonHugePages,Node 1 ShmemHugePages,Node 1 ShmemPmdMapped,Node 1 FileHugePages,Node 1 FilePmdMapped,Node 1 Unaccepted,Node 1 HugePages_Total,Node 1 HugePages_Free,Node 1 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-06 07:35:14,972"
0,75628,-75628,616,5392,780,8,704,5384,76,0,0,0,0,6292,4020,776,0,24,64,0,0,0,0,-1028,-896,-1028,132,0,0,0,0,0,0,0,0,0,"2024-09-06 07:35:24,996"
0,-8771552,8771552,2132,6144,8811596,8,8759816,6136,51780,0,0,0,0,60736,5032,8759956,0,24,17020,0,0,0,0,-1028,-892,-1028,136,0,0,0,0,0,0,0,0,0,"2024-09-06 07:35:34,999"
0,-26752664,26752664,2156,6620,26758264,8,26706428,6612,51836,0,0,0,0,60904,5404,26706416,0,40,52520,0,0,0,0,-1028,-868,-1028,160,0,0,0,0,0,0,0,0,0,"2024-09-06 07:35:45,000"
0,-44754584,44754584,2160,6808,44726888,8,44675044,6800,51844,0,0,0,0,60916,5404,44675488,0,24,87452,0,0,0,0,-1028,-860,-1028,168,0,0,0,0,0,0,0,0,0,"2024-09-06 07:35:55,001"
0,-54325772,54325772,2160,10056,54276348,8,50891248,10048,3385100,0,0,0,0,3397584,5404,50891176,0,24,99872,0,0,0,0,5564,5840,5564,276,0,0,0,0,0,0,0,0,0,"2024-09-06 07:36:05,003"
0,-59514296,59514296,2160,15100,59445708,8,50891284,15092,8554424,0,0,0,0,8571996,5404,50891204,0,24,99872,0,0,0,0,17260,17720,17260,460,0,0,0,0,0,0,0,0,0,"2024-09-06 07:36:15,005"
0,-64703464,64703464,2180,20180,64625032,8,50891284,20172,13733748,0,0,0,0,13756380,5404,50891232,0,24,99872,0,0,0,0,29052,29696,29052,644,0,0,0,0,0,0,0,0,0,"2024-09-06 07:36:25,007"
0,-64987956,64987956,2144,29212,64879292,16,50891224,29196,13988068,0,0,0,0,14019612,5400,50891292,-4,24,99872,0,0,0,0,39904,40736,39904,832,0,0,0,0,0,0,0,0,0,"2024-09-06 07:36:35,009"
0,-65001248,65001248,2336,37456,64875160,16,50891308,37440,13983852,0,0,0,0,14023780,5640,50890848,-4,24,99872,0,0,0,0,49900,50892,49900,992,0,0,0,0,0,0,0,0,0,"2024-09-06 07:36:45,010"
