nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,nr_unaccepted,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_sec_page_table_pages,nr_iommu_pages,nr_swapcached,pgpromote_success,pgpromote_candidate,pgdemote_kswapd,pgdemote_direct,pgdemote_khugepaged,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,pgalloc_device,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,allocstall_device,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgskip_device,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgsteal_khugepaged,pgscan_kswapd,pgscan_direct,pgscan_khugepaged,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,zswpwb,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
17834309,31398,1039,214144,70007,5391,0,4623,0,0,0,0,3567997,0,0,2442941,2316898,1251099,31398,1039,214144,70007,5391,24506,38797,0,0,0,0,0,0,0,0,0,0,31715,46873,290439,0,0,0,4235,0,0,0,0,0,0,0,20229,20176,0,0,590,590,11184,3323,2097,2097,0,0,0,0,0,0,3608962,1802278,1030739,85732,0,0,1024,2988,3681241,0,0,0,0,0,0,0,0,0,0,0,0,21548305,39227,0,1077,3057889,4651,0,0,132463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,"2024-09-06 07:35:14,971"
16338255,1736666,1280,79088,27676,5391,0,4623,0,0,0,0,5672229,97,97,2442941,4421130,1251196,1736666,1280,79088,27676,5391,15798,38668,0,0,1594,23,1587,1,1587,0,1050,20635,1736743,23752,113699,0,0,0,4062,0,0,0,0,0,393555,243,20239,413741,0,0,590,590,11248,7468,2097,2097,824,0,0,0,0,0,3274356,1635179,1038583,1660008,352,393555,3600,397482,5388564,0,0,0,0,57,1039,0,0,0,0,0,0,22129570,55454,59913,1077,5156889,5043,0,61930,132703,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393155,0,0,0,0,0,0,0,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,95,1,0,"2024-09-06 07:35:24,989"
14126039,3926261,1280,92010,27868,5391,0,4623,0,0,0,0,7879293,97,97,2442941,6628194,1251196,3926261,1280,92010,27868,5391,15798,38669,0,0,1588,23,1759,1,1759,0,1083,20635,3926358,24005,127369,0,0,0,4062,0,0,0,0,0,393555,243,20245,413747,0,0,590,590,11248,11707,2097,2097,1262,0,0,0,0,0,2834643,1415591,1092803,1660032,674,393555,3600,397482,7595669,0,0,0,0,57,1039,0,0,0,0,0,0,22129609,55458,59913,1077,7346836,5368,0,61930,132865,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393156,0,0,0,1111933,0,244,244,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,0,0,0,95,1,0,"2024-09-06 07:35:34,998"
9630999,8413127,1275,92364,28078,5391,0,4623,0,0,0,0,12375931,97,97,2442941,11124833,1251196,8413127,1275,92364,28078,5391,15798,38675,0,0,1587,23,1987,1,1987,0,1116,20635,8413181,24098,127923,0,0,0,4062,0,0,0,0,0,393555,243,20250,413752,0,0,590,590,11264,20582,2097,2097,1270,0,0,0,0,0,1935967,966801,1095067,1660052,725,393555,3600,397482,12092336,0,0,0,0,57,1039,0,0,0,0,0,0,22130188,55488,59913,1077,11834824,5437,0,61930,132919,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393158,0,0,0,3143549,0,770,770,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,95,1,0,"2024-09-06 07:35:45,000"
5129210,12905217,1280,92412,28150,5391,0,4623,0,0,0,0,16876966,97,97,2442941,15625867,1251196,12905217,1280,92412,28150,5391,15798,38677,0,0,1586,27,2014,1,2014,0,1218,20635,12905271,24114,127962,0,0,0,4062,0,0,0,0,0,393555,243,20256,413758,0,0,590,590,11248,29315,2097,2097,1296,0,0,0,0,0,1035853,517294,1095223,1660076,739,393555,3600,397482,16593394,0,0,0,0,57,1039,0,0,0,0,0,0,22130218,55488,59913,1077,16327342,5452,0,61930,132931,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393158,0,0,0,5568381,0,1091,1091,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,95,1,0,"2024-09-06 07:35:55,001"
2736413,14459389,1280,925605,28962,5391,0,4623,0,0,0,0,19268639,97,97,2442941,18017540,1251196,14459389,1280,925605,28962,5391,17446,38704,0,0,1586,27,2014,1,2014,0,1218,20635,14459435,24114,962008,0,0,0,4062,0,0,0,0,0,393555,243,20262,413764,0,0,590,590,11248,32420,2097,2097,1296,0,0,0,0,0,724171,361643,4431743,1660100,743,393555,3600,397482,18986330,0,0,0,0,57,1039,0,0,0,0,0,0,22130269,55514,59913,1077,18708587,5456,0,61930,132937,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393158,0,0,0,7206781,0,828277,828277,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,95,1,0,"2024-09-06 07:36:05,002"
1439282,14459398,1280,2217936,30223,5391,0,4623,0,0,0,0,20562966,97,97,2442941,19311867,1251196,14459398,1280,2217936,30223,5391,20370,38750,0,0,1586,29,2014,1,2014,0,1218,20635,14459442,24114,2255611,0,0,0,4062,0,0,0,0,0,393555,243,20267,413769,0,0,590,590,11248,32420,2097,2097,1296,0,0,0,0,0,723463,361290,9605971,1660120,747,393555,3600,397482,20282930,0,0,0,0,57,1039,0,0,0,0,0,0,22130281,55555,59913,1077,19391496,5460,0,61930,132939,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393158,0,0,0,8123022,0,1511176,1511176,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,95,1,0,"2024-09-06 07:36:15,004"
141927,14459401,1280,3512888,31493,5391,0,4623,0,0,0,0,21859954,97,97,2442941,20608855,1251196,14459401,1280,3512888,31493,5391,23318,38796,0,0,1586,29,2014,1,2014,0,1218,20635,14459453,24114,3551830,0,0,0,4062,0,0,0,0,0,393555,243,20273,413775,0,0,590,590,11248,32420,2097,2097,1303,0,0,0,0,0,723236,361176,14790851,1660144,758,393555,3600,397482,21582143,0,0,0,0,57,1039,0,0,0,0,0,0,22130333,55595,59913,1077,20104771,5471,0,61930,132944,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393158,0,0,0,8974990,0,2224426,2224426,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,95,1,0,"2024-09-06 07:36:25,006"
72042,14453747,1282,3576907,33772,5391,0,4623,0,0,0,0,23160394,15791,15791,2442941,21909295,1266890,14453747,1282,3576907,33772,5391,25989,38830,0,0,20628,29,2014,1,2014,0,1218,22055,14453751,23056,3618204,0,0,0,4061,0,0,0,0,0,399273,243,20279,419499,0,0,590,590,11248,32420,2097,2097,1371,0,0,0,0,0,722519,360818,20052443,1683040,759,399273,3602,397482,22900403,0,0,0,0,57,1039,0,0,0,0,0,0,23389073,57642,60923,1077,20832642,5472,0,62975,132944,1723737,102940,0,3408270,593772,0,6,2543608,1458434,398567,1428110,0,0,122790,2198,18,74,99,398873,0,0,0,9892494,0,2952292,2952292,0,4237,6,0,0,0,83477,155986,9374,0,0,0,15,83477,155986,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,95,1,0,"2024-09-06 07:36:35,008"
69689,14453774,1283,3576345,36049,5391,0,4623,0,0,0,0,24392882,48077,48077,2442941,23141783,1299176,14453769,1283,3576342,36034,5391,28558,38870,0,0,40086,66,2628,1,2628,0,1267,24143,14453675,23096,3619956,0,0,0,4061,0,0,0,0,0,399273,243,20286,419506,0,0,590,590,11264,32424,2097,2097,1474,0,0,0,0,0,722388,360753,25106267,1683068,1151,399273,3613,397482,24167202,0,0,0,0,57,1039,0,0,0,0,0,0,24664238,59097,61919,1077,21508203,5831,0,64022,133028,2984749,102940,0,4719002,593772,0,6,2591167,2721607,398567,2689122,0,0,125496,2199,18,148,181,398873,0,0,0,10744462,0,3626551,3626551,0,16907,786,0,0,0,479036,433316,37169,0,0,0,21,479036,433316,0,0,0,0,2317966,0,2259394,2266071,2261448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,52,0,0,0,0,0,95,1,0,"2024-09-06 07:36:45,010"
