nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,nr_unaccepted,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_sec_page_table_pages,nr_iommu_pages,nr_swapcached,pgpromote_success,pgpromote_candidate,pgdemote_kswapd,pgdemote_direct,pgdemote_khugepaged,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,pgalloc_device,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,allocstall_device,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgskip_device,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgsteal_khugepaged,pgscan_kswapd,pgscan_direct,pgscan_khugepaged,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,zswpwb,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-06 07:35:14,971"
-1496054,1705268,241,-135056,-42331,0,0,0,0,0,0,0,2104232,97,97,0,2104232,97,1705268,241,-135056,-42331,0,-8708,-129,0,0,1594,23,1587,1,1587,0,1050,20635,1705028,-23121,-176740,0,0,0,-173,0,0,0,0,0,393555,243,10,393565,0,0,0,0,64,4145,0,0,824,0,0,0,0,0,-334606,-167099,7844,1574276,352,393555,2576,394494,1707323,0,0,0,0,57,1039,0,0,0,0,0,0,581265,16227,59913,0,2099000,392,0,61930,240,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393152,0,0,0,0,0,0,0,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,"2024-09-06 07:35:24,989"
-3708270,3894863,241,-122134,-42139,0,0,0,0,0,0,0,4311296,97,97,0,4311296,97,3894863,241,-122134,-42139,0,-8708,-128,0,0,1588,23,1759,1,1759,0,1083,20635,3894643,-22868,-163070,0,0,0,-173,0,0,0,0,0,393555,243,16,393571,0,0,0,0,64,8384,0,0,1262,0,0,0,0,0,-774319,-386687,62064,1574300,674,393555,2576,394494,3914428,0,0,0,0,57,1039,0,0,0,0,0,0,581304,16231,59913,0,4288947,717,0,61930,402,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393153,0,0,0,1111933,0,244,244,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,0,0,0,0,0,0,"2024-09-06 07:35:34,998"
-8203310,8381729,236,-121780,-41929,0,0,0,0,0,0,0,8807934,97,97,0,8807935,97,8381729,236,-121780,-41929,0,-8708,-122,0,0,1587,23,1987,1,1987,0,1116,20635,8381466,-22775,-162516,0,0,0,-173,0,0,0,0,0,393555,243,21,393576,0,0,0,0,80,17259,0,0,1270,0,0,0,0,0,-1672995,-835477,64328,1574320,725,393555,2576,394494,8411095,0,0,0,0,57,1039,0,0,0,0,0,0,581883,16261,59913,0,8776935,786,0,61930,456,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393155,0,0,0,3143549,0,770,770,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,"2024-09-06 07:35:45,000"
-12705099,12873819,241,-121732,-41857,0,0,0,0,0,0,0,13308969,97,97,0,13308969,97,12873819,241,-121732,-41857,0,-8708,-120,0,0,1586,27,2014,1,2014,0,1218,20635,12873556,-22759,-162477,0,0,0,-173,0,0,0,0,0,393555,243,27,393582,0,0,0,0,64,25992,0,0,1296,0,0,0,0,0,-2573109,-1284984,64484,1574344,739,393555,2576,394494,12912153,0,0,0,0,57,1039,0,0,0,0,0,0,581913,16261,59913,0,13269453,801,0,61930,468,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393155,0,0,0,5568381,0,1091,1091,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,"2024-09-06 07:35:55,001"
-15097896,14427991,241,711461,-41045,0,0,0,0,0,0,0,15700642,97,97,0,15700642,97,14427991,241,711461,-41045,0,-7060,-93,0,0,1586,27,2014,1,2014,0,1218,20635,14427720,-22759,671569,0,0,0,-173,0,0,0,0,0,393555,243,33,393588,0,0,0,0,64,29097,0,0,1296,0,0,0,0,0,-2884791,-1440635,3401004,1574368,743,393555,2576,394494,15305089,0,0,0,0,57,1039,0,0,0,0,0,0,581964,16287,59913,0,15650698,805,0,61930,474,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393155,0,0,0,7206781,0,828277,828277,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,"2024-09-06 07:36:05,002"
-16395027,14428000,241,2003792,-39784,0,0,0,0,0,0,0,16994969,97,97,0,16994969,97,14428000,241,2003792,-39784,0,-4136,-47,0,0,1586,29,2014,1,2014,0,1218,20635,14427727,-22759,1965172,0,0,0,-173,0,0,0,0,0,393555,243,38,393593,0,0,0,0,64,29097,0,0,1296,0,0,0,0,0,-2885499,-1440988,8575232,1574388,747,393555,2576,394494,16601689,0,0,0,0,57,1039,0,0,0,0,0,0,581976,16328,59913,0,16333607,809,0,61930,476,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393155,0,0,0,8123022,0,1511176,1511176,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,"2024-09-06 07:36:15,004"
-17692382,14428003,241,3298744,-38514,0,0,0,0,0,0,0,18291957,97,97,0,18291957,97,14428003,241,3298744,-38514,0,-1188,-1,0,0,1586,29,2014,1,2014,0,1218,20635,14427738,-22759,3261391,0,0,0,-173,0,0,0,0,0,393555,243,44,393599,0,0,0,0,64,29097,0,0,1303,0,0,0,0,0,-2885726,-1441102,13760112,1574412,758,393555,2576,394494,17900902,0,0,0,0,57,1039,0,0,0,0,0,0,582028,16368,59913,0,17046882,820,0,61930,481,469022,102940,0,2080450,593772,0,6,2467820,206402,392912,179050,0,0,120696,2190,17,0,18,393155,0,0,0,8974990,0,2224426,2224426,0,390,3,0,0,0,23542,48431,1448,0,0,0,11,23542,48431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,"2024-09-06 07:36:25,006"
-17762267,14422349,243,3362763,-36235,0,0,0,0,0,0,0,19592397,15791,15791,0,19592397,15791,14422349,243,3362763,-36235,0,1483,33,0,0,20628,29,2014,1,2014,0,1218,22055,14422036,-23817,3327765,0,0,0,-174,0,0,0,0,0,399273,243,50,399323,0,0,0,0,64,29097,0,0,1371,0,0,0,0,0,-2886443,-1441460,19021704,1597308,759,399273,2578,394494,19219162,0,0,0,0,57,1039,0,0,0,0,0,0,1840768,18415,60923,0,17774753,821,0,62975,481,1723737,102940,0,3408270,593772,0,6,2543608,1458434,398567,1428110,0,0,122790,2198,18,74,99,398870,0,0,0,9892494,0,2952292,2952292,0,4237,6,0,0,0,83477,155986,9374,0,0,0,15,83477,155986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,"2024-09-06 07:36:35,008"
-17764620,14422376,244,3362201,-33958,0,0,0,0,0,0,0,20824885,48077,48077,0,20824885,48077,14422371,244,3362198,-33973,0,4052,73,0,0,40086,66,2628,1,2628,0,1267,24143,14421960,-23777,3329517,0,0,0,-174,0,0,0,0,0,399273,243,57,399330,0,0,0,0,80,29101,0,0,1474,0,0,0,0,0,-2886574,-1441525,24075528,1597336,1151,399273,2589,394494,20485961,0,0,0,0,57,1039,0,0,0,0,0,0,3115933,19870,61919,0,18450314,1180,0,64022,565,2984749,102940,0,4719002,593772,0,6,2591167,2721607,398567,2689122,0,0,125496,2199,18,148,181,398870,0,0,0,10744462,0,3626551,3626551,0,16907,786,0,0,0,479036,433316,37169,0,0,0,21,479036,433316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,52,0,0,0,0,0,0,0,0,"2024-09-06 07:36:45,010"
