Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 SecPageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 Unaccepted,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
7766260,6089264,1676996,0,195564,594764,2856,77544,192708,517220,20736,17664,8,0,731984,123604,79520,14664,6280,7756,0,0,0,0,67688,171960,67688,104272,0,0,0,0,0,0,0,0,0,"2024-09-09 08:42:48,045"
7766260,110312,7655948,0,8484,6787568,7156,6786596,1328,972,20736,17664,0,0,23460,19376,6793352,14120,6232,24288,0,0,0,0,52488,156860,52488,104372,0,0,0,0,0,0,0,0,0,"2024-09-09 08:42:58,046"
7766260,110060,7656200,0,8484,6787568,7156,6786596,1328,972,20736,17664,0,0,23460,19376,6793360,14120,6232,24288,0,0,0,0,52488,156860,52488,104372,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:08,049"
7766260,110060,7656200,0,8484,6787568,7156,6786596,1328,972,20736,17664,0,0,23460,19376,6793376,14120,6232,24288,0,0,0,0,52488,156860,52488,104372,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:18,050"
7766260,110060,7656200,0,8484,6787568,7156,6786596,1328,972,20736,17664,0,0,23460,19376,6793380,14120,6232,24288,0,0,0,0,52488,156860,52488,104372,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:28,051"
7766260,110060,7656200,0,8484,6787568,7156,6786596,1328,972,20736,17664,0,0,23460,19376,6793396,14120,6232,24288,0,0,0,0,52488,156860,52488,104372,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:38,053"
7766260,105128,7661132,0,9868,6786168,8416,6785320,1452,848,20736,17664,0,0,23460,19376,6793336,14120,6256,24296,0,0,0,0,52488,156872,52488,104384,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:48,054"
7766260,86672,7679588,0,8616,6801076,7136,6786624,1480,14452,20736,17664,0,0,37092,19080,6793336,14120,6256,24296,0,0,0,0,52236,156616,52236,104380,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:58,056"
7766260,90588,7675672,28,8648,6801076,7168,6786624,1480,14452,20736,17664,0,0,37120,19080,6793340,14120,6256,24296,0,0,0,0,52120,156500,52120,104380,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:08,057"
7766260,58872,7707388,28,8692,6828724,7168,6786652,1524,42072,20736,17664,0,0,64784,19052,6793500,14120,6256,24296,0,0,0,0,51984,156364,51984,104380,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:18,058"
7766260,59560,7706700,28,8812,6828756,7168,6786684,1644,42072,20736,17664,4,0,64924,19052,6793500,14120,6256,24296,0,0,0,0,51764,156144,51764,104380,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:28,059"
7766260,61840,7704420,28,8812,6828756,7168,6786684,1644,42072,20736,17664,0,0,64924,19052,6793500,14120,6256,24296,0,0,0,0,51348,155728,51348,104380,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:38,061"
