nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,nr_unaccepted,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_sec_page_table_pages,nr_swapcached,pgpromote_success,pgpromote_candidate,pgdemote_kswapd,pgdemote_direct,pgdemote_khugepaged,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,pgalloc_device,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,allocstall_device,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgskip_device,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgsteal_khugepaged,pgscan_kswapd,pgscan_direct,pgscan_khugepaged,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,zswpwb,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
17822854,31354,1053,216137,71708,5391,3,4623,0,0,0,0,3564534,0,0,2446235,2306828,1257706,31354,1053,216137,71708,5391,24747,37475,0,0,0,0,0,0,0,0,0,0,31624,49834,294146,3,0,0,4235,0,0,0,0,0,0,0,19589,19528,0,0,448,448,10224,3330,0,0,0,0,0,0,0,3607410,1801502,1059735,83728,0,0,1024,2988,3678484,0,0,0,0,0,0,0,0,0,0,0,0,21542506,40494,0,811,3050975,4911,0,0,131006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,"2024-09-09 08:42:48,044"
15755543,2128431,2128,264175,23877,5391,0,4623,0,0,0,0,6263831,0,0,2446235,2331133,3932698,2128431,2128,264175,23877,5391,20798,37496,0,0,0,0,0,0,0,0,0,0,2129774,49914,294256,0,0,0,4236,0,0,0,0,0,0,0,19597,19539,0,0,448,448,10192,7464,0,0,0,0,572664,24239,0,3194090,1595095,1059739,83772,0,0,1024,390275,5990523,0,0,0,0,1,479,0,0,0,0,0,0,22144610,50530,56881,811,5149447,4911,0,60416,131147,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,3,0,0,0,0,0,0,0,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,"2024-09-09 08:42:58,046"
13539598,4325160,2128,277066,23892,5391,0,4623,0,0,0,0,8477823,0,0,2446235,4545125,3932698,4325160,2128,277066,23892,5391,20826,37504,0,0,0,0,0,0,0,0,0,0,4326514,50090,307164,0,0,0,4236,0,0,0,0,0,0,0,19603,19545,0,0,448,448,10192,11672,0,0,0,0,572664,24239,0,2753590,1375114,1111363,83796,0,0,1024,390275,8204576,0,0,0,0,1,479,0,0,0,0,0,0,22144646,50535,56881,811,7346483,4917,0,60416,131169,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,3,0,0,0,1062868,0,240,240,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,"2024-09-09 08:43:08,048"
9076174,8780611,2128,277066,23892,5391,0,4623,0,0,0,0,12942032,0,0,2446235,9009334,3932698,8780611,2128,277066,23892,5391,20826,37505,0,0,0,0,0,0,0,0,0,0,8781956,50090,307165,0,0,0,4236,0,0,0,0,0,0,0,19608,19550,0,0,448,448,10192,20421,0,0,0,0,572664,24239,0,1861123,929425,1111363,83816,0,0,1024,390275,12668809,0,0,0,0,1,479,0,0,0,0,0,0,22144682,50535,56881,811,11802519,4917,0,60416,131185,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,3,0,0,0,3094484,0,791,791,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,"2024-09-09 08:43:18,050"
4679153,13167562,2128,277071,23892,5391,0,4623,0,0,0,0,17337631,0,0,2446235,13404933,3932698,13167562,2128,277071,23892,5391,20826,37512,0,0,0,0,0,0,0,0,0,0,13168902,50090,307167,0,0,0,4236,0,0,0,0,0,0,0,19614,19556,0,0,448,448,10192,29017,0,0,0,0,572664,24239,0,981935,490368,1111363,83840,0,0,1024,390275,17064434,0,0,0,0,1,479,0,0,0,0,0,0,22144688,50535,56881,811,16189827,4917,0,60416,131193,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,3,0,0,0,5519316,0,1114,1114,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,"2024-09-09 08:43:28,051"
2212097,14850587,2128,1054370,24651,5391,0,4623,0,0,0,0,19802519,0,0,2446235,15869821,3932698,14850587,2128,1054370,24651,5391,22613,37543,0,0,0,0,0,0,0,0,0,0,14851931,50090,1085240,0,0,0,4236,0,0,0,0,0,0,0,19620,19562,0,0,448,448,10192,32418,0,0,0,0,572664,24239,0,644217,321715,4223903,83864,0,0,1024,390275,19530677,0,0,0,0,1,479,0,0,0,0,0,0,22144718,50535,56881,811,18651135,4917,0,60416,131198,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,3,0,0,0,7223252,0,779465,779465,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,"2024-09-09 08:43:38,052"
919019,14850229,2443,2335014,25937,5391,0,4623,0,0,0,0,21085812,0,0,2446235,17153114,3932698,14850229,2443,2335014,25937,5391,25549,37603,0,0,0,0,0,0,0,0,0,0,14851871,50090,2367183,0,0,0,4236,0,0,0,0,0,0,0,19625,19567,0,0,448,448,10224,32424,0,0,0,0,572664,24239,0,641988,320602,9351603,83884,0,0,1024,390275,20816205,0,0,0,0,1,479,0,0,0,0,0,0,22145348,50888,56881,811,19381140,4917,0,60416,131219,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,3,0,0,0,8220109,0,1508775,1508775,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,"2024-09-09 08:43:48,054"
78877,14846073,2122,3172922,28310,5391,0,4623,0,0,0,0,22383010,5985,5985,2446235,18447738,3941257,14846073,2122,3172917,28310,5391,28451,37656,0,0,7522,0,1,0,1,0,0,0,14847257,41504,3207594,0,0,0,4231,0,0,0,0,0,4620,0,19634,24196,0,0,448,448,10224,32424,0,137,0,0,575238,24239,0,642015,320615,14550799,102420,0,4620,1024,390275,22121665,0,0,0,0,1,479,0,0,0,0,0,0,22612036,53180,58393,811,20097511,4918,0,62021,131219,1039221,24239,0,2265683,492974,0,0,2094041,664616,424300,639160,0,0,106089,2,17,29,49,4607,0,0,0,9137613,0,2225144,2225144,0,600430,63,0,0,0,7170,51100,2008,0,0,0,11,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,"2024-09-09 08:43:58,055"
72010,14846073,2130,3171478,34414,5391,0,4623,0,0,0,0,23694079,5985,5985,2446235,19758807,3941257,14846073,2130,3171453,34414,5391,31370,37702,0,0,27945,8,1,8,1,0,0,128,14847258,38698,3212206,0,0,0,4231,0,0,0,0,0,4620,0,19640,24202,0,0,448,448,10224,32424,0,144,0,0,575238,24239,0,641570,320393,19792043,102444,8,4620,1024,390275,23434989,0,0,0,0,1,479,0,0,0,0,0,0,23917840,58034,58393,811,20819988,4919,0,62021,131219,2344960,24239,0,3577295,492974,0,0,2094041,1976228,424300,1944899,0,0,106217,2,17,115,135,4607,0,0,0,10120653,0,2947620,2947620,0,600430,63,0,0,0,7170,51100,2008,0,0,0,11,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,105,1,0,"2024-09-09 08:44:08,057"
74228,14846085,2134,3164717,37605,5391,0,4623,0,0,0,0,24936020,16009,16009,2446235,20997646,3954383,14846085,2134,3164717,37605,5391,33766,37740,0,0,46744,12,1,12,1,0,0,3072,14847315,36492,3208690,0,0,0,4231,0,0,0,0,0,4620,0,19647,24209,0,0,448,448,10224,32424,0,147,0,0,578340,24239,0,641304,320260,24784583,102472,12,4620,1024,390275,24688934,0,0,0,0,1,479,0,0,0,0,0,0,25172866,59976,58393,811,21487893,4920,0,62021,131220,3599746,24239,0,4834924,492974,0,0,2094041,3233857,424300,3199685,0,0,109161,2,17,198,220,4607,0,0,0,10553116,0,3615467,3615467,0,603532,63,0,0,0,7170,51100,2008,0,0,0,11,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,105,1,0,"2024-09-09 08:44:18,058"
69183,14843959,2134,3168871,39218,5391,1,4623,0,0,0,0,26203527,16009,16009,2446235,22265153,3954383,14843959,2134,3168871,39218,5391,36178,37786,0,0,67483,12,38,12,38,0,35,4736,14845208,34066,3214449,1,0,0,4231,0,0,0,0,0,6727,0,19657,26325,0,0,448,448,10224,32424,0,120,0,0,578340,24239,0,641461,320339,29851811,110948,12,6727,1024,390275,25958484,0,0,0,0,1,479,0,0,0,0,0,0,26436322,61024,59095,811,22165150,4920,0,62806,131220,4862908,24239,0,6101739,492974,0,0,2098305,4496408,426434,4460713,0,0,110825,2,17,284,306,6707,0,0,0,11540453,0,4292724,4292724,0,603532,63,0,0,0,7170,51100,2008,0,0,0,11,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,105,1,0,"2024-09-09 08:44:28,059"
72536,14843961,2134,3159586,41074,5391,0,4623,0,0,0,0,27474576,16009,16009,2446235,23536202,3954383,14843961,2134,3159581,41074,5391,38926,37832,0,0,91208,14,38,12,38,0,35,4992,14845209,31525,3206993,0,0,0,4231,0,0,0,0,0,6727,0,19663,26332,0,0,448,448,10224,32424,0,122,0,0,578340,24239,0,640633,319925,34933011,110976,15,6727,1024,390275,27231719,0,0,0,0,1,479,0,0,0,0,0,0,27714139,61635,59095,811,22906079,4922,0,62806,131220,6140593,24239,0,7380280,492974,0,0,2098305,5774949,426434,5738398,0,0,111081,2,17,371,393,6707,0,0,0,12462410,0,5033651,5033651,0,603532,63,0,0,0,7170,51100,2008,0,0,0,11,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,105,1,0,"2024-09-09 08:44:38,060"
74811,14839281,2418,3162334,42540,5391,0,4623,0,0,0,0,28716223,28046,28046,2446235,24767199,3977070,14839281,2418,3162345,42540,5391,39708,37872,0,0,106594,15,46,12,46,0,39,11779,14840810,30115,3211239,0,0,0,4231,0,0,0,0,0,11129,0,19670,30741,0,0,448,448,10224,32424,0,128,0,0,588990,24239,0,641934,320575,39900327,128612,15,11129,1024,390275,28487411,0,0,0,0,1,479,0,0,0,0,0,0,28969136,62916,59842,811,24148757,4926,0,63674,131241,7393234,24239,0,8638580,492974,0,0,2111931,7019623,434976,6982497,0,0,118121,2,17,449,477,11109,0,0,0,13581659,0,6275675,6275675,0,614182,63,0,0,0,7170,51100,2008,0,0,0,12,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,105,1,0,"2024-09-09 08:44:48,062"
61205,14834890,2418,3179419,43172,5391,0,4623,0,0,0,0,29944067,28046,28046,2446235,25995043,3977070,14834890,2418,3179455,43172,5391,42319,37918,0,0,127959,15,47,12,47,0,39,11907,14836401,28537,3228990,0,0,0,4231,0,0,0,0,0,15540,0,19676,35158,0,0,448,448,10224,32424,0,135,0,0,588990,24239,0,644368,321790,44808803,146280,15,15540,1024,390275,29717379,0,0,0,0,1,479,0,0,0,0,0,0,30183163,63098,60450,811,25376022,4927,0,64395,131241,8607050,24239,0,9856875,492974,0,0,2120748,8229101,439380,8191909,0,0,118249,2,17,536,564,15503,0,0,0,14699905,0,7502937,7502937,0,614182,63,0,0,0,7170,51100,2008,0,0,0,12,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,105,1,0,"2024-09-09 08:44:58,063"
72137,14825959,2255,3166472,45219,5391,6,4623,0,0,0,0,31145263,28962,28962,2446235,27194070,3980155,14825959,2255,3166543,45219,5391,44123,37956,0,0,143013,18,1270,12,1270,0,301,17294,14827325,28229,3218147,6,0,0,4232,0,0,0,0,0,24618,0,19733,44287,0,0,448,448,10224,32424,0,134,0,0,591159,24239,0,642774,320994,49603259,182836,18,24618,1024,390275,30921561,0,0,0,0,1,479,0,0,0,0,0,0,31405473,63408,61172,811,26573124,5015,0,65139,131340,9828010,24239,0,11087178,492974,0,0,2141188,9438964,450525,9401724,0,0,123881,2,17,621,651,24579,0,0,0,15751902,0,8699453,8699453,0,616351,63,0,0,0,7170,51100,2008,0,0,0,12,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,105,1,0,"2024-09-09 08:45:08,064"
2115990,12744295,2079,3148256,46128,5391,4,4623,0,0,0,0,31738408,36312,36312,2446235,27774314,4000406,12744295,2079,3148256,46128,5391,44562,37966,0,0,151805,92,1593,12,1593,0,516,18160,12745578,27812,3200747,4,0,0,4232,0,0,0,0,0,24618,1,19744,44300,0,0,448,448,10208,28294,0,105,0,0,604037,24239,0,1047970,523345,51952991,182912,94,24618,1024,390275,31522529,0,0,0,0,1,479,0,0,0,0,0,0,34109350,63424,61300,811,27160519,5101,0,65267,131364,10445634,24239,0,11705256,492974,0,0,2141188,10057042,450525,10019348,0,0,125325,2,17,659,693,24580,0,0,0,15841451,0,9286733,9286733,0,629229,67,0,0,0,7170,51100,2008,0,0,0,13,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,105,1,0,"2024-09-09 08:45:18,065"
2189087,12744466,2080,3148968,47714,5391,34,4623,0,0,0,0,31751818,36312,36312,2446235,27787722,4000408,12744466,2080,3148968,47714,5391,44307,36074,0,0,151758,225,3131,12,3131,0,1175,18160,12745716,29243,3203115,34,0,0,4232,0,0,0,0,0,24618,1,19983,44509,0,0,448,448,10096,28294,0,221,0,0,604037,24239,0,1063045,530873,51961939,183780,229,24618,1024,390275,31536174,0,0,0,0,1,479,0,0,0,0,0,0,34122865,63456,61300,811,27175948,5331,0,65267,134650,10445634,24239,0,11705256,492974,0,0,2141188,10057042,450525,10019348,0,0,125325,2,17,659,693,24580,0,0,0,15841451,0,9286749,9286748,1,629230,67,0,0,0,7170,51100,2008,0,0,0,13,7170,51100,0,0,0,0,2311669,0,2253283,2259959,2255336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,105,1,0,"2024-09-09 08:45:28,066"
