nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,nr_unaccepted,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_sec_page_table_pages,nr_swapcached,pgpromote_success,pgpromote_candidate,pgdemote_kswapd,pgdemote_direct,pgdemote_khugepaged,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,pgalloc_device,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,allocstall_device,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgskip_device,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgsteal_khugepaged,pgscan_kswapd,pgscan_direct,pgscan_khugepaged,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,zswpwb,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:42:48,044"
-2067311,2097077,1075,48038,-47831,0,-3,0,0,0,0,0,2699297,0,0,0,24305,2674992,2097077,1075,48038,-47831,0,-3949,21,0,0,0,0,0,0,0,0,0,0,2098150,80,110,-3,0,0,1,0,0,0,0,0,0,0,8,11,0,0,0,0,-32,4134,0,0,0,0,572664,24239,0,-413320,-206407,4,44,0,0,0,387287,2312039,0,0,0,0,1,479,0,0,0,0,0,0,602104,10036,56881,0,2098472,0,0,60416,141,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,0,0,0,0,0,0,0,0,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:42:58,046"
-4283256,4293806,1075,60929,-47816,0,-3,0,0,0,0,0,4913289,0,0,0,2238297,2674992,4293806,1075,60929,-47816,0,-3921,29,0,0,0,0,0,0,0,0,0,0,4294890,256,13018,-3,0,0,1,0,0,0,0,0,0,0,14,17,0,0,0,0,-32,8342,0,0,0,0,572664,24239,0,-853820,-426388,51628,68,0,0,0,387287,4526092,0,0,0,0,1,479,0,0,0,0,0,0,602140,10041,56881,0,4295508,6,0,60416,163,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,0,0,0,0,1062868,0,240,240,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:08,048"
-8746680,8749257,1075,60929,-47816,0,-3,0,0,0,0,0,9377498,0,0,0,6702506,2674992,8749257,1075,60929,-47816,0,-3921,30,0,0,0,0,0,0,0,0,0,0,8750332,256,13019,-3,0,0,1,0,0,0,0,0,0,0,19,22,0,0,0,0,-32,17091,0,0,0,0,572664,24239,0,-1746287,-872077,51628,88,0,0,0,387287,8990325,0,0,0,0,1,479,0,0,0,0,0,0,602176,10041,56881,0,8751544,6,0,60416,179,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,0,0,0,0,3094484,0,791,791,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:18,050"
-13143701,13136208,1075,60934,-47816,0,-3,0,0,0,0,0,13773097,0,0,0,11098105,2674992,13136208,1075,60934,-47816,0,-3921,37,0,0,0,0,0,0,0,0,0,0,13137278,256,13021,-3,0,0,1,0,0,0,0,0,0,0,25,28,0,0,0,0,-32,25687,0,0,0,0,572664,24239,0,-2625475,-1311134,51628,112,0,0,0,387287,13385950,0,0,0,0,1,479,0,0,0,0,0,0,602182,10041,56881,0,13138852,6,0,60416,187,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,0,0,0,0,5519316,0,1114,1114,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:28,051"
-15610757,14819233,1075,838233,-47057,0,-3,0,0,0,0,0,16237985,0,0,0,13562993,2674992,14819233,1075,838233,-47057,0,-2134,68,0,0,0,0,0,0,0,0,0,0,14820307,256,791094,-3,0,0,1,0,0,0,0,0,0,0,31,34,0,0,0,0,-32,29088,0,0,0,0,572664,24239,0,-2963193,-1479787,3164168,136,0,0,0,387287,15852193,0,0,0,0,1,479,0,0,0,0,0,0,602212,10041,56881,0,15600160,6,0,60416,192,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,0,0,0,0,7223252,0,779465,779465,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:38,052"
-16903835,14818875,1390,2118877,-45771,0,-3,0,0,0,0,0,17521278,0,0,0,14846286,2674992,14818875,1390,2118877,-45771,0,802,128,0,0,0,0,0,0,0,0,0,0,14820247,256,2073037,-3,0,0,1,0,0,0,0,0,0,0,36,39,0,0,0,0,0,29094,0,0,0,0,572664,24239,0,-2965422,-1480900,8291868,156,0,0,0,387287,17137721,0,0,0,0,1,479,0,0,0,0,0,0,602842,10394,56881,0,16330165,6,0,60416,213,572664,24239,0,1790847,492974,0,0,2084227,199594,419817,177086,0,0,106085,0,17,1,19,0,0,0,0,8220109,0,1508775,1508775,0,597856,63,0,0,0,7170,51100,2008,0,0,0,10,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:48,054"
-17743977,14814719,1069,2956785,-43398,0,-3,0,0,0,0,0,18818476,5985,5985,0,16140910,2683551,14814719,1069,2956780,-43398,0,3704,181,0,0,7522,0,1,0,1,0,0,0,14815633,-8330,2913448,-3,0,0,-4,0,0,0,0,0,4620,0,45,4668,0,0,0,0,0,29094,0,137,0,0,575238,24239,0,-2965395,-1480887,13491064,18692,0,4620,0,387287,18443181,0,0,0,0,1,479,0,0,0,0,0,0,1069530,12686,58393,0,17046536,7,0,62021,213,1039221,24239,0,2265683,492974,0,0,2094041,664616,424300,639160,0,0,106089,2,17,29,49,4604,0,0,0,9137613,0,2225144,2225144,0,600430,63,0,0,0,7170,51100,2008,0,0,0,11,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:58,055"
-17750844,14814719,1077,2955341,-37294,0,-3,0,0,0,0,0,20129545,5985,5985,0,17451979,2683551,14814719,1077,2955316,-37294,0,6623,227,0,0,27945,8,1,8,1,0,0,128,14815634,-11136,2918060,-3,0,0,-4,0,0,0,0,0,4620,0,51,4674,0,0,0,0,0,29094,0,144,0,0,575238,24239,0,-2965840,-1481109,18732308,18716,8,4620,0,387287,19756505,0,0,0,0,1,479,0,0,0,0,0,0,2375334,17540,58393,0,17769013,8,0,62021,213,2344960,24239,0,3577295,492974,0,0,2094041,1976228,424300,1944899,0,0,106217,2,17,115,135,4604,0,0,0,10120653,0,2947620,2947620,0,600430,63,0,0,0,7170,51100,2008,0,0,0,11,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:08,057"
-17748626,14814731,1081,2948580,-34103,0,-3,0,0,0,0,0,21371486,16009,16009,0,18690818,2696677,14814731,1081,2948580,-34103,0,9019,265,0,0,46744,12,1,12,1,0,0,3072,14815691,-13342,2914544,-3,0,0,-4,0,0,0,0,0,4620,0,58,4681,0,0,0,0,0,29094,0,147,0,0,578340,24239,0,-2966106,-1481242,23724848,18744,12,4620,0,387287,21010450,0,0,0,0,1,479,0,0,0,0,0,0,3630360,19482,58393,0,18436918,9,0,62021,214,3599746,24239,0,4834924,492974,0,0,2094041,3233857,424300,3199685,0,0,109161,2,17,198,220,4604,0,0,0,10553116,0,3615467,3615467,0,603532,63,0,0,0,7170,51100,2008,0,0,0,11,7170,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:18,058"
